<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	657	691	657	582	229	100	43	34	29	27	25	26	
B	407	401	343	278	235	103	45	33	30	24	24	25	
C	276	221	161	136	129	94	41	48	27	25	23	22	
D	227	185	112	77	57	60	42	30	26	26	24	23	
E	206	156	84	39	27	27	26	25	25	24	25	26	
F													
G													
H													
