<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	2489	2474	2307	2026	723	281	92	50	39	34	34	33	
B	1595	1356	1163	925	717	275	88	48	37	30	33	27	
C	1018	786	522	400	383	245	78	50	30	26	27	26	
D	867	627	360	197	127	136	75	42	31	26	26	23	
E	834	563	269	79	32	24	22	22	23	23	24	24	
F													
G													
H													
