*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	3.02056e+006	2.41615e+006	1788	4106	8467	12610	16175	18500	19622	19403	18591	16987	14851	12723	10873	9167	7495	6017	4805	3541	2517	1725	1257	934	767	614	513	425	385	387	417	472	559	699	829	958	1061	1261	1482	1672	1783	1894	1956	2004	2039	2037	2000	1930	1906	1828	1737	1632	1553	1457	1360	1281	1185	1106	998	913	842	776	713	639	600	536	491	434	409	369	329	305	274	251	225	197	180	169	153	134	127	110	102	91	83	74	70	60	54	49	42	39	35	37	30	28	26	24	21	16	13	18	11	16	13	13	9	10	11	6	14	9	0	0	29	
A2	3.04058e+006	2.50841e+006	2440	5856	12081	17708	23094	26902	28807	28852	27533	25555	22625	19964	16795	14100	11807	9463	7588	5624	3939	2729	1969	1482	1200	936	760	583	487	424	394	392	424	483	540	601	661	759	907	1022	1089	1157	1179	1215	1222	1227	1194	1174	1136	1102	1046	992	935	876	826	761	709	656	604	561	508	457	421	386	359	322	297	275	243	218	206	186	162	148	137	120	110	100	89	84	78	69	65	53	51	48	40	40	33	32	29	23	23	21	19	17	14	15	12	12	10	10	11	8	8	4	5	5	5	6	7	9	0	18	0	
A3	2.99178e+006	2.49674e+006	2737	7182	14777	21843	27869	32825	35228	35096	34533	31851	28647	24917	21439	18176	15090	12182	9704	7246	5145	3520	2576	1910	1539	1178	946	745	576	481	383	338	306	287	295	285	288	324	365	400	410	436	442	442	443	452	447	435	411	399	383	372	343	316	287	275	259	236	213	206	191	171	152	140	127	119	108	100	92	80	74	67	58	52	47	45	38	39	32	33	30	25	20	22	19	16	13	16	12	11	11	8	8	8	8	6	6	6	3	3	3	4	4	4	4	0	5	0	0	6	7	9	0	0	29	
A4	3.0428e+006	2.57688e+006	3047	7492	15450	23177	29694	35208	38473	38389	36802	34091	31274	26918	23335	19639	16447	13280	10624	7893	5631	3891	2758	2070	1678	1317	1052	795	613	493	390	311	257	216	189	167	147	145	147	148	148	146	151	147	144	139	135	128	127	119	115	107	102	95	92	85	77	76	64	59	54	49	47	42	38	37	30	29	27	25	24	21	17	16	17	15	14	12	12	10	8	8	9	6	6	6	3	6	6	3	3	5	3	3	3	3	3	3	3	3	0	3	4	0	0	0	0	0	5	0	0	9	12	0	29	
A5	2.99525e+006	2.45596e+006	3141	7722	15992	23912	30877	36416	39771	39563	38048	36011	32395	27704	24534	20600	17042	13729	11005	8271	5811	4004	2888	2150	1749	1342	1070	812	628	507	390	305	249	193	161	123	102	90	85	78	70	67	64	62	54	53	50	47	47	39	39	36	33	32	28	26	29	26	23	20	18	17	16	15	14	13	10	10	10	9	7	8	8	8	6	7	4	5	2	5	3	3	3	3	3	3	3	3	3	0	0	3	3	0	3	0	3	3	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
A6	2.9922e+006	2.48103e+006	3221	7808	16016	23312	30330	36335	38876	39587	38240	35771	31467	27837	24136	20637	17224	13797	11072	8317	5833	4029	2906	2190	1753	1365	1068	826	637	501	390	298	239	189	154	118	93	78	71	60	52	47	42	36	31	29	29	26	25	22	20	19	17	16	13	14	17	13	11	11	8	9	9	7	6	6	7	5	5	5	4	4	4	4	4	4	2	5	2	3	3	0	3	3	3	0	3	3	0	3	3	0	3	0	3	3	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	
A7	2.92668e+006	2.47408e+006	3235	7680	16243	23869	30616	36236	39090	39080	38480	35630	31765	27948	24240	20361	16973	13864	10881	8159	5779	4020	2882	2135	1715	1352	1058	813	622	502	385	294	238	184	151	113	90	73	64	55	46	39	32	29	25	24	20	19	17	15	13	12	11	11	10	8	11	10	7	5	5	4	6	4	5	5	3	3	3	4	2	2	4	2	2	2	2	2	2	3	3	0	3	3	0	3	0	3	0	0	0	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	
A8	2.95518e+006	2.5021e+006	3143	7739	15887	23730	30355	35776	38851	39398	38011	35223	31545	27783	23969	20650	16885	13760	10949	8255	5878	3970	2889	2149	1756	1366	1041	824	633	488	387	301	237	188	150	108	84	72	64	51	44	35	29	24	23	20	17	16	13	12	10	9	10	10	9	8	10	9	5	5	6	6	4	4	5	3	2	3	3	2	2	4	2	2	2	2	2	2	2	3	0	3	0	3	3	0	0	3	0	0	0	3	0	0	3	0	3	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	
A9	3.0012e+006	2.42741e+006	3121	7687	16201	23630	30705	36459	38991	39566	38482	36038	32120	27946	24285	20959	17385	14038	11066	8410	5881	4050	2921	2183	1764	1376	1081	833	636	506	393	308	246	189	152	110	85	75	62	50	44	35	30	26	22	20	16	14	13	12	11	10	7	8	7	6	10	9	5	5	5	4	4	4	4	3	3	2	3	3	2	2	2	2	2	2	2	2	2	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	28	
A10	2.91875e+006	2.47674e+006	3102	7617	16049	23286	30267	35394	38576	38550	37460	35319	31384	27634	23656	20234	16789	13535	10750	8053	5740	3908	2847	2108	1727	1335	1046	787	617	486	375	290	231	183	146	110	85	67	63	50	41	35	28	24	21	18	16	16	13	11	11	10	10	8	7	7	9	9	5	4	4	4	4	3	3	5	3	3	3	2	2	4	2	2	2	2	2	2	2	3	3	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	9	0	0	0	
A11	2.99253e+006	2.453e+006	3112	7529	15581	22528	29335	34481	37007	37599	36914	34131	30598	26913	23112	19894	16577	13297	10673	7983	5620	3848	2818	2075	1687	1341	1047	789	614	477	373	290	231	185	143	107	84	71	59	47	41	34	28	27	21	17	17	13	13	11	10	12	8	8	9	6	9	8	7	5	4	4	4	3	3	3	3	3	3	4	4	2	2	2	2	2	0	2	2	3	3	3	0	3	3	0	3	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	4	0	0	0	5	0	0	0	0	0	0	0	0	
A12	2.96606e+006	2.44136e+006	2994	7336	15171	22368	29329	33873	36663	36667	36102	33836	29466	25852	22684	18870	16008	12810	10185	7635	5398	3653	2672	1954	1585	1250	966	753	571	453	347	274	217	174	135	98	80	65	55	49	39	32	29	23	22	17	16	14	11	10	10	9	8	10	6	6	10	8	4	7	5	4	4	3	5	3	3	3	2	2	2	4	2	2	2	2	2	2	2	0	0	3	0	3	3	0	3	3	0	3	0	0	-3	3	0	3	3	3	3	0	0	4	0	0	0	0	5	0	0	0	0	9	0	0	0	
B1	3.05014e+006	2.50045e+006	1079	2161	4348	6190	8067	9227	9845	9685	9272	8637	7486	6431	5535	4659	3910	3112	2482	1866	1324	902	667	502	421	347	295	263	245	242	277	314	373	451	512	600	636	745	868	958	1033	1079	1098	1131	1155	1126	1131	1099	1071	1033	960	921	847	810	743	706	654	614	545	507	460	420	391	359	320	298	276	252	217	207	188	166	150	141	124	120	108	88	86	77	68	64	58	50	47	45	41	34	32	27	24	21	21	21	16	17	14	12	9	10	10	11	8	8	8	9	5	5	5	6	0	9	13	19	29	
B2	3.07778e+006	2.5594e+006	1266	2780	5567	8021	10264	12133	12839	12938	12630	11579	10197	8968	7675	6563	5518	4510	3551	2677	1875	1303	954	704	588	453	388	318	276	254	248	264	289	347	390	438	474	560	663	725	788	819	845	868	882	868	861	830	818	787	748	703	667	619	572	531	503	464	426	385	357	329	304	270	250	232	218	197	168	158	145	127	115	108	92	84	78	70	66	56	58	47	41	40	36	36	29	24	20	20	19	18	15	13	13	11	12	9	9	10	7	7	8	8	4	9	5	5	6	6	7	9	13	19	0	
B3	3.00951e+006	2.51678e+006	1601	3546	7129	10356	13525	15857	17094	16957	16941	15506	14063	12325	10710	9041	7645	6144	4952	3743	2615	1846	1345	1016	797	635	505	402	322	274	234	210	219	208	219	229	236	268	306	337	352	368	373	390	384	381	374	372	359	340	326	301	288	273	251	239	221	205	184	169	152	140	133	120	110	99	91	81	76	65	61	55	48	45	40	38	40	33	27	27	22	19	21	15	16	17	13	12	11	11	11	8	8	5	8	6	6	6	3	3	3	4	4	4	4	0	5	5	0	6	0	0	0	19	0	
B4	2.97605e+006	2.45238e+006	1703	3862	7803	11480	14889	17671	18856	18958	18720	17177	15644	13726	11944	10153	8550	6842	5424	4121	2933	2024	1460	1135	969	824	791	727	623	536	470	448	425	381	328	282	234	232	235	216	197	186	178	163	159	153	139	126	122	112	105	96	88	83	75	69	70	63	56	49	45	45	41	36	31	28	26	24	25	20	17	15	16	16	13	9	9	12	10	8	8	9	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	4	0	4	4	4	5	5	6	0	7	0	13	19	0	
B5	3.0126e+006	2.47892e+006	1733	4050	8023	11758	15485	18313	19367	19867	19228	18013	15942	14138	12177	10447	8698	7074	5632	4282	2945	2106	1487	1094	906	696	550	438	333	265	207	170	133	109	91	74	64	59	56	58	51	48	47	46	41	44	40	36	34	34	30	28	26	26	23	23	23	22	18	16	17	14	13	13	13	9	10	10	7	7	6	6	6	6	6	4	4	5	5	3	3	3	3	3	3	3	3	3	3	3	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	6	7	0	13	0	0	
B6	2.98685e+006	2.43423e+006	1836	4090	8091	11850	15222	18414	19541	19532	19116	17869	15797	14110	12075	10464	8556	6963	5543	4161	2896	2014	1463	1097	882	691	542	415	319	260	203	164	126	100	82	64	53	45	43	38	30	29	27	25	23	22	20	19	17	17	15	14	12	12	10	12	14	12	8	8	6	6	7	6	6	5	5	5	5	4	4	4	4	4	2	2	2	2	2	3	3	3	3	0	3	0	3	3	0	0	0	0	0	0	3	3	0	3	3	0	0	0	0	4	4	4	0	0	0	0	0	0	13	0	29	
B7	3.00793e+006	2.4091e+006	1819	4014	8289	12142	15814	18538	19965	19837	19705	18391	16114	14258	12444	10620	8728	7203	5593	4251	3015	2086	1515	1133	900	704	544	431	330	257	202	162	129	99	81	62	48	43	38	32	28	23	21	20	18	15	12	11	10	10	9	8	10	7	6	8	9	8	7	5	4	3	3	4	3	3	3	3	2	2	2	4	2	4	2	2	2	2	2	3	3	3	0	3	0	3	0	0	3	0	3	0	3	0	3	0	0	0	0	3	0	0	4	0	0	0	0	0	5	0	0	0	13	19	0	
B8	3.0111e+006	2.48936e+006	1800	3871	8180	12009	15547	18234	19764	19852	19262	18097	16190	14148	12383	10546	8783	7121	5658	4240	3019	2076	1511	1123	908	723	570	439	334	265	203	163	132	106	82	65	52	43	37	32	28	24	20	19	16	15	15	11	10	11	8	8	8	6	6	6	9	8	5	4	4	6	4	3	5	3	3	2	3	2	2	4	2	2	2	2	2	2	2	3	3	0	3	3	0	3	0	0	3	0	3	0	0	0	3	0	3	3	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	
B9	2.98948e+006	2.45224e+006	1732	4041	8410	12138	15820	18544	19712	19924	19690	18631	16358	14385	12501	10731	8947	7127	5798	4374	3050	2094	1544	1145	937	728	569	436	341	269	207	163	136	107	84	62	52	39	38	31	26	23	19	16	16	12	11	11	9	8	9	8	7	6	5	6	9	6	4	4	4	4	4	4	5	3	3	2	2	2	2	2	2	2	2	2	5	2	2	3	0	3	3	0	3	3	0	3	3	3	0	0	0	0	0	0	0	3	3	0	0	0	4	0	0	0	0	0	5	0	7	0	0	19	0	
B10	2.9466e+006	2.43106e+006	1753	3959	7988	11601	15192	17739	19756	19623	19237	17737	16114	14174	12313	10527	8857	7131	5818	4318	3007	2119	1528	1116	903	724	565	438	338	271	212	165	132	102	86	63	48	41	36	30	25	23	20	16	16	12	10	11	9	9	7	6	7	6	6	6	9	6	4	5	4	4	4	3	3	3	3	3	3	3	4	2	2	2	2	2	2	2	0	3	3	0	0	3	3	3	0	3	3	0	0	0	3	0	0	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
B11	3.02098e+006	2.42251e+006	1689	4074	8082	11826	15660	18083	19460	19781	19517	18065	16139	14243	12364	10582	8908	7103	5755	4323	3073	2100	1517	1153	929	708	562	447	348	273	210	163	133	102	84	62	51	45	39	33	26	21	20	18	16	12	11	10	9	9	7	7	6	6	6	5	9	6	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	0	2	2	0	0	3	3	3	0	3	3	0	3	0	3	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	4	0	0	5	0	0	0	0	0	0	
B12	3.00652e+006	2.43667e+006	1706	3845	7925	11596	15052	17537	19340	19108	18722	17438	15678	13684	12016	10197	8409	6808	5454	4090	2893	2005	1452	1091	880	689	545	413	320	260	197	161	130	98	80	62	47	41	36	29	23	23	20	17	14	12	11	9	10	9	7	7	7	7	6	6	8	7	5	4	5	3	3	3	3	3	3	3	2	2	4	2	2	2	2	2	2	2	2	3	0	0	0	3	0	0	0	3	3	3	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	28	
C1	3.03024e+006	2.51823e+006	659	1113	2168	3117	4182	4626	4882	4931	4665	4279	3804	3292	2785	2384	1978	1625	1278	969	666	474	342	269	228	197	176	154	158	165	183	213	251	296	329	356	381	444	508	566	601	617	620	644	650	631	615	612	582	556	525	500	480	441	414	381	358	331	300	284	251	235	210	191	175	164	148	133	124	104	109	89	81	79	69	63	57	52	50	45	38	37	32	31	26	26	19	18	17	17	13	13	13	11	11	8	12	6	6	7	7	4	8	4	4	4	5	5	5	6	7	9	0	0	0	
C2	3.03778e+006	2.54837e+006	733	1452	2721	3782	5084	5798	6274	6201	5925	5621	4964	4247	3717	3138	2604	2104	1682	1281	890	624	462	352	292	232	201	173	161	148	156	170	192	217	252	276	291	340	397	442	460	485	508	499	507	509	490	479	457	442	424	399	376	356	328	306	288	264	233	223	196	190	169	155	144	129	119	113	97	91	79	73	67	59	54	49	46	39	40	35	33	25	30	26	20	16	19	18	14	14	13	8	8	8	8	8	6	6	6	7	3	4	4	4	4	4	5	5	5	6	7	0	13	0	0	
C3	3.05778e+006	2.50382e+006	938	1778	3470	5034	6637	7721	8024	8307	8000	7377	6597	5784	4984	4276	3652	2888	2316	1742	1227	851	633	477	385	313	258	203	171	144	137	131	130	143	151	166	167	195	220	235	252	273	275	280	276	274	271	260	265	241	228	225	209	193	188	174	161	153	131	125	115	102	92	85	80	74	66	62	56	47	46	43	39	33	31	27	25	24	21	18	17	18	15	13	13	10	13	10	9	8	8	5	5	5	6	6	6	3	3	3	3	4	4	4	4	0	5	5	6	6	7	10	0	19	0	
C4	3.04792e+006	2.45831e+006	973	1979	3893	5611	7525	8835	9432	9536	9165	8683	7653	6823	5764	5060	4164	3366	2717	2006	1437	1000	734	541	438	351	282	220	165	140	117	99	90	80	77	71	69	73	78	83	86	85	86	89	85	86	82	78	75	72	70	67	58	59	54	54	51	42	39	35	34	28	27	26	22	22	20	19	18	17	13	14	10	10	11	9	9	7	5	8	5	6	6	6	6	3	6	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	0	0	0	4	5	5	5	0	0	0	0	0	29	
C5	2.99401e+006	2.49134e+006	1023	2076	4152	6009	8059	9219	9980	10168	9806	9091	8129	7230	6125	5270	4355	3584	2834	2152	1517	1054	747	567	459	356	286	219	173	139	111	94	77	61	55	47	40	38	39	36	35	35	32	32	31	31	29	29	27	26	24	22	23	20	18	16	18	16	14	15	11	13	10	8	8	8	8	9	7	5	6	4	6	4	4	4	5	2	5	5	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	0	3	0	3	3	4	4	0	4	4	5	0	0	0	0	0	0	0	0	
C6	3.00021e+006	2.51244e+006	1025	2072	4081	5959	7899	9183	10005	10100	9578	8849	8020	7087	6160	5250	4393	3501	2826	2082	1513	1026	752	556	450	351	282	216	171	130	107	83	68	57	46	37	30	28	25	24	20	19	20	16	16	16	15	14	12	12	11	11	11	10	9	9	10	9	7	6	7	6	5	6	5	3	3	3	5	4	4	4	2	2	2	2	2	2	2	3	3	3	0	3	3	0	3	3	3	3	3	3	3	3	3	0	0	3	0	3	0	0	4	0	4	5	0	0	0	0	0	0	13	19	0	
C7	3.03931e+006	2.48391e+006	1029	2000	4225	6239	8000	9218	10044	10014	9610	9120	8040	7156	6202	5220	4380	3541	2829	2140	1482	1043	758	562	454	357	281	220	170	136	104	85	66	54	44	37	28	24	23	19	17	16	15	14	11	10	10	9	9	9	8	6	6	6	6	6	8	7	5	4	4	4	4	3	3	3	3	3	2	2	2	2	0	2	2	2	2	2	0	3	0	3	3	3	3	0	3	0	3	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	
C8	3.02425e+006	2.48391e+006	1033	2103	4159	6053	8031	9186	10058	10159	9795	9022	8175	7253	6274	5308	4482	3584	2846	2143	1511	1051	764	571	474	356	292	217	174	139	102	81	70	53	44	35	28	25	23	20	17	15	13	11	10	10	10	8	8	7	7	6	6	6	5	5	7	7	4	4	3	4	4	3	3	3	3	2	4	2	2	2	2	2	2	2	2	2	2	3	3	0	3	3	3	3	0	0	0	0	3	0	0	3	0	0	0	3	0	3	3	0	0	4	0	0	5	0	0	0	7	0	13	0	0	
C9	3.04229e+006	2.52135e+006	977	2035	4050	5917	7726	8967	9603	9701	9408	8810	7876	7008	6008	5114	4269	3482	2778	2098	1451	1014	725	549	443	342	266	216	171	134	105	80	69	56	46	34	28	25	22	18	16	14	12	11	10	10	8	7	8	7	6	6	5	5	5	5	8	8	4	4	3	4	3	3	3	3	3	3	2	4	2	4	2	2	2	2	2	2	3	0	3	0	3	3	0	3	0	3	3	3	3	0	0	0	0	0	3	0	0	3	0	0	0	4	0	4	5	0	0	0	0	9	13	0	0	
C10	3.01294e+006	2.48921e+006	992	1953	3848	5672	7454	8597	9307	9370	9183	8482	7669	6940	5887	5034	4287	3423	2751	2063	1473	1015	731	544	435	336	276	211	166	130	106	82	68	54	42	33	27	23	20	19	16	14	12	13	10	9	8	8	7	7	6	6	6	5	5	5	8	7	4	4	4	3	4	3	3	3	3	3	2	2	2	2	0	2	2	2	2	2	3	3	3	3	3	3	0	3	0	0	3	3	3	0	3	3	0	0	3	3	0	0	0	0	0	4	0	5	5	0	5	0	0	0	13	0	30	
C11	3.0371e+006	2.51302e+006	968	1971	3760	5533	7314	8519	9048	9192	8976	8459	7326	6527	5656	4872	3992	3253	2649	1994	1394	962	712	551	498	495	557	549	489	423	372	368	359	323	261	206	172	154	142	127	99	85	69	61	50	41	35	31	26	21	18	15	13	12	10	10	13	10	7	7	6	4	5	5	5	3	3	3	3	2	4	4	2	2	2	2	2	2	3	3	3	3	3	3	0	3	0	3	3	0	0	3	0	3	0	3	0	0	0	0	0	0	4	0	0	4	5	5	0	0	0	0	13	0	0	
C12	3.04365e+006	2.47199e+006	969	1876	3766	5437	7147	8392	9065	9007	8910	8263	7438	6582	5704	4777	4043	3250	2623	1947	1395	971	706	517	427	332	262	214	160	124	98	79	65	50	43	32	27	23	20	18	17	15	12	10	10	10	8	8	8	7	6	6	6	6	5	5	8	7	4	4	3	4	3	3	3	3	2	3	2	4	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	0	0	3	0	3	3	0	0	0	3	3	3	0	4	0	0	0	5	0	0	6	0	0	0	0	0	
D1	3.08381e+006	2.5298e+006	425	626	1046	1571	2216	2312	2444	2463	2349	2127	1912	1605	1421	1180	987	794	629	480	349	249	189	150	133	117	111	112	115	127	137	165	185	213	235	259	260	293	336	355	371	378	383	392	393	379	372	354	343	332	314	293	274	257	231	212	209	192	172	162	147	133	125	109	106	88	88	77	71	67	57	55	48	47	40	33	37	32	31	26	25	22	18	16	19	17	13	12	15	8	11	10	8	8	8	6	6	6	6	7	7	4	4	4	4	4	5	5	5	6	0	0	13	0	0	
D2	3.05451e+006	2.58511e+006	429	669	1322	1909	2607	2875	3001	2990	2942	2706	2395	2060	1803	1500	1267	1018	825	619	444	321	230	176	150	128	113	106	100	103	109	119	129	144	164	174	182	207	234	253	258	266	275	283	276	271	259	258	245	245	225	205	197	192	171	158	153	143	126	113	102	99	89	83	75	67	61	56	50	43	43	39	36	33	27	27	26	25	20	18	19	17	12	10	13	13	10	9	9	8	8	8	5	5	5	6	6	3	3	6	7	4	4	4	4	4	5	5	0	6	7	9	13	19	29	
D3	3.09858e+006	2.49425e+006	585	867	1697	2473	3304	3689	3908	3937	3752	3479	3141	2714	2348	1970	1674	1374	1085	821	566	392	298	227	182	146	128	107	96	84	81	82	89	96	100	111	113	129	144	155	165	168	171	177	174	170	170	165	157	148	144	137	129	117	110	102	102	89	82	74	68	65	61	54	49	43	42	36	33	31	27	25	24	21	17	15	16	17	13	13	11	11	9	10	10	7	6	6	9	5	5	3	5	3	3	3	3	3	3	3	3	4	4	4	4	4	0	0	6	0	7	0	13	0	0	
D4	3.03075e+006	2.52819e+006	582	991	1879	2723	3584	4228	4428	4441	4394	4172	3688	3204	2763	2388	2011	1604	1310	981	704	484	353	270	214	174	139	111	91	79	69	63	61	54	57	54	52	56	61	61	64	64	68	65	65	64	62	60	54	56	54	47	47	41	40	40	38	35	30	29	26	23	23	20	19	16	15	14	12	12	13	10	10	8	8	7	7	7	5	5	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	0	4	4	0	0	5	5	5	6	0	9	13	0	0	
D5	3.08329e+006	2.4912e+006	644	1044	2127	3017	4022	4667	4896	4904	4778	4521	4001	3525	3046	2570	2162	1746	1380	1061	773	510	372	282	229	182	139	114	87	72	59	52	46	39	37	32	27	28	28	30	27	26	27	24	26	24	25	22	24	20	20	19	17	16	15	15	18	13	12	12	10	9	9	8	8	8	7	5	5	5	6	4	4	4	4	4	5	5	5	3	3	3	3	3	3	3	3	3	3	3	0	0	3	3	3	3	3	3	3	3	0	4	0	0	0	0	0	0	5	6	7	0	0	19	30	
D6	3.04578e+006	2.48406e+006	638	1098	2109	3039	4134	4737	4949	5016	4862	4556	4062	3559	3087	2637	2196	1740	1421	1047	756	515	372	285	228	186	142	119	87	70	60	48	41	33	28	24	21	21	18	17	17	15	15	14	14	12	11	11	11	11	9	10	9	7	7	8	9	8	5	7	6	4	6	5	5	5	5	3	4	5	4	2	2	2	4	5	2	2	2	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	0	0	3	3	3	3	4	0	4	4	4	4	0	5	0	6	7	9	0	0	29	
D7	3.04852e+006	2.47625e+006	670	1120	2024	2973	4108	4563	4886	5002	4795	4554	3894	3475	3013	2546	2123	1713	1376	1012	739	507	364	276	221	173	141	111	87	69	57	42	35	33	26	22	18	15	15	14	12	11	11	9	8	8	8	8	8	7	7	6	6	6	6	6	8	7	4	4	4	4	4	3	3	3	3	3	2	4	4	4	2	2	2	2	2	2	2	3	3	3	0	3	3	3	3	0	3	3	3	3	3	0	3	0	3	3	3	3	3	0	4	4	4	0	5	0	0	0	0	9	13	19	0	
