*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
D8	3.05297e+006	2.49703e+006	657	1097	2154	3101	4201	4677	5029	5076	5009	4638	4135	3611	3137	2671	2216	1797	1473	1102	765	527	383	290	233	193	146	113	90	74	57	48	39	33	26	21	17	15	14	13	11	11	10	9	8	8	7	7	7	5	6	6	5	5	5	5	7	7	4	3	3	4	3	3	3	2	3	3	4	4	2	2	2	2	2	2	2	2	3	3	3	3	3	0	3	3	3	3	3	3	3	0	3	3	3	3	3	0	3	3	3	4	0	0	0	4	5	5	0	6	0	0	13	0	0	
D9	3.03752e+006	2.47759e+006	671	1035	2074	2934	3990	4559	4794	4883	4784	4470	4023	3479	3025	2566	2141	1762	1385	1042	749	516	369	284	225	176	141	111	86	72	58	46	36	33	26	20	16	16	15	12	11	11	9	9	8	7	7	7	7	6	6	6	6	6	5	5	9	5	4	4	4	4	3	3	3	3	3	3	3	4	4	2	2	2	2	2	0	2	2	3	3	3	3	3	3	3	0	0	3	0	3	0	0	0	0	0	3	3	0	3	3	0	4	4	4	4	5	5	6	6	7	0	13	18	29	
D10	3.0516e+006	2.49974e+006	639	1026	1994	2903	3874	4392	4737	4635	4638	4326	3859	3408	2941	2449	2085	1697	1373	1021	724	490	367	272	222	168	140	108	83	72	54	42	34	31	25	21	18	16	12	13	11	10	9	8	9	8	7	7	7	6	6	5	5	6	5	5	8	5	4	4	4	4	3	2	3	3	2	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	0	3	0	0	3	3	3	3	3	3	0	0	3	3	0	3	3	0	0	4	4	0	4	5	0	0	6	0	0	13	19	0	
D11	3.0498e+006	2.59792e+006	607	990	1908	2727	3664	4240	4430	4549	4388	4099	3689	3187	2805	2402	2003	1614	1305	981	686	476	348	253	204	164	136	104	83	67	54	42	35	31	25	20	19	15	15	13	11	10	8	9	7	8	7	6	7	6	6	6	6	5	5	5	7	7	4	4	4	4	5	3	3	3	3	2	2	4	2	2	4	2	2	2	2	3	2	3	3	3	3	3	0	0	0	3	0	3	3	0	3	0	3	3	0	3	3	3	0	4	4	4	0	0	5	5	0	0	7	0	0	19	30	
D12	3.03261e+006	2.47254e+006	567	899	1731	2573	3601	3974	4220	4199	4108	3813	3451	3040	2651	2217	1864	1538	1197	922	637	443	325	245	199	154	128	99	76	63	53	41	33	29	24	19	18	15	12	12	12	9	9	9	8	8	8	7	7	5	6	6	6	5	4	5	9	5	4	4	4	3	3	3	3	3	3	3	4	2	2	2	2	2	2	2	0	2	2	3	0	3	3	3	3	3	3	3	3	3	3	3	0	0	3	3	0	3	3	3	3	0	0	4	4	0	0	0	0	0	0	9	0	0	0	
E1	3.09109e+006	2.50317e+006	231	80	65	107	332	213	162	155	135	110	92	70	62	46	43	34	31	26	25	29	24	29	38	42	49	58	71	83	97	113	129	142	142	148	144	156	161	164	169	160	162	159	151	143	137	126	127	113	104	100	90	88	79	71	68	64	54	51	47	43	42	37	32	32	27	26	23	22	21	19	18	17	13	16	14	12	13	10	11	9	9	9	10	10	6	6	6	6	5	3	5	5	5	3	3	3	3	3	3	4	4	4	4	5	5	5	5	6	7	9	13	19	29	
E2	3.10833e+006	2.47443e+006	232	54	66	127	350	239	156	151	138	111	86	72	57	43	34	31	27	24	20	20	19	22	26	32	37	40	50	51	65	73	78	84	91	87	90	97	104	104	102	101	98	95	95	93	87	78	78	73	71	63	59	57	50	46	45	44	37	34	29	29	27	25	22	21	19	17	18	14	15	12	12	11	11	9	9	7	10	8	8	9	6	6	6	7	6	6	6	3	5	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	5	6	6	7	9	13	19	30	
E3	3.08574e+006	2.50934e+006	226	54	66	125	353	238	164	144	118	98	86	73	51	42	33	30	27	24	20	18	18	17	19	24	26	32	34	36	39	42	48	53	53	53	51	55	58	61	59	61	59	56	58	53	52	48	46	45	39	40	37	33	31	30	31	27	23	19	18	18	16	17	14	13	12	11	11	9	11	10	8	6	7	7	7	7	7	5	5	6	3	6	6	6	3	3	3	5	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	6	6	0	9	13	19	29	
E4	3.05752e+006	2.593e+006	295	81	43	130	385	230	173	134	137	119	86	69	57	47	30	26	24	24	17	14	12	11	13	13	14	16	16	15	16	18	21	21	22	22	20	20	21	22	21	21	23	20	21	20	17	17	20	18	17	16	13	14	12	11	16	12	9	9	9	7	7	8	6	6	7	5	7	5	6	4	4	4	4	4	5	5	3	5	3	3	3	6	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	0	4	5	5	5	6	7	9	13	19	29	
E5	3.09294e+006	2.54237e+006	258	53	44	124	371	214	149	147	127	103	80	64	58	42	34	30	24	18	17	14	12	10	10	10	10	9	11	10	11	9	10	10	10	11	9	9	9	10	9	9	10	10	11	9	9	9	8	8	8	7	7	6	8	6	10	8	5	5	6	6	6	5	3	5	5	3	4	4	4	4	4	4	2	2	5	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	6	6	7	9	13	20	30	
E6	3.08364e+006	2.53295e+006	265	53	43	128	395	208	135	145	130	100	80	64	52	42	33	27	24	15	14	14	10	11	10	10	10	8	9	11	9	9	9	10	9	8	9	9	8	8	8	7	8	8	7	7	7	7	7	7	5	6	6	5	5	5	9	8	5	4	4	4	3	3	3	5	3	3	4	2	4	4	2	4	2	4	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	0	4	4	5	5	5	6	7	9	13	19	29	
E7	3.02948e+006	2.53031e+006	264	54	87	126	370	212	150	133	129	105	86	63	47	42	34	31	27	20	14	14	10	10	11	10	10	10	11	11	9	9	9	10	8	9	6	8	7	8	8	8	7	7	6	7	6	6	6	6	6	5	5	5	5	4	8	7	4	4	3	3	3	3	3	3	3	3	2	4	4	4	2	4	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	0	5	5	5	6	7	9	13	19	29	
E8	3.07395e+006	2.48321e+006	230	52	44	143	374	205	143	147	127	101	79	63	52	38	35	30	24	20	14	12	10	9	10	10	12	10	9	9	8	9	9	9	9	7	8	8	8	7	8	7	7	7	7	6	6	6	6	5	6	7	5	5	5	5	8	7	4	3	3	3	4	3	3	3	3	3	4	4	2	2	2	4	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	5	6	7	9	13	19	29	
E9	3.01888e+006	2.51946e+006	292	80	67	141	386	205	156	147	118	107	79	64	52	47	34	27	24	20	15	14	10	11	10	9	10	11	9	11	9	10	9	9	8	8	7	8	8	8	7	8	7	7	7	7	6	6	5	5	6	6	5	5	5	5	8	8	4	3	4	3	3	3	3	3	3	3	4	4	2	4	2	4	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	4	4	4	4	4	5	0	5	6	7	9	13	19	29	
E10	3.10141e+006	2.52856e+006	259	80	65	126	364	212	143	145	109	96	79	58	53	37	34	26	24	18	17	12	10	11	11	12	8	10	11	9	11	9	9	9	8	8	7	7	8	8	8	7	8	6	7	7	6	6	6	5	5	6	5	5	5	5	7	7	4	4	4	4	3	3	3	3	3	3	4	2	4	4	2	2	4	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	5	5	6	6	7	9	13	19	29	
E11	3.12208e+006	2.5328e+006	294	53	66	149	371	202	151	155	110	105	85	68	52	42	35	27	27	21	17	14	10	11	11	10	12	10	9	11	9	11	9	8	9	7	8	8	8	7	7	8	7	7	7	6	6	7	6	5	5	6	5	4	5	5	8	7	4	3	4	4	3	3	3	3	2	3	4	2	4	2	2	4	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	3	4	4	4	4	4	5	5	6	6	7	0	13	19	29	
E12	3.05563e+006	2.53662e+006	257	80	65	128	349	249	145	149	131	114	87	76	56	47	38	31	27	20	17	14	12	10	11	10	10	11	11	9	11	9	10	10	9	8	8	8	8	8	8	8	7	7	7	7	7	6	6	5	6	6	5	5	5	5	8	7	5	4	3	4	3	5	3	3	2	3	4	4	2	4	4	2	4	2	5	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	4	4	4	4	5	5	5	5	6	7	9	13	19	0	
