*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	
A11	0.0424	0.039	0.0367	0.0348	0.0322	0.0302	0.0291	0.0269	0.0277	0.0261	0.0264	0.0249	0.0243	0.0264	0.0261	0.025	0.0249	0.0251	0.0246	0.0257	0.0242	0.0245	0.0239	0.0243	0.0241	0.0236	0.0242	0.0241	0.0237	0.0237	0.0239	0.0238	0.0242	0.0238	0.0241	0.0245	0.0238	0.0243	0.024	0.0244	0.0239	0.0243	0.0246	0.0256	0.0264	0.0267	0.0269	0.0269	0.0263	0.0262	0.0259	
A12	0.0426	0.0377	0.0375	0.035	0.0322	0.0309	0.028	0.0275	0.0277	0.0261	0.025	0.0255	0.026	0.0257	0.0247	0.0259	0.0255	0.025	0.0253	0.0251	0.0239	0.0246	0.0248	0.025	0.0243	0.0241	0.0244	0.0233	0.0242	0.0242	0.0243	0.0245	0.0244	0.0244	0.0241	0.0244	0.0243	0.0243	0.0237	0.0246	0.0243	0.0244	0.0249	0.0256	0.0267	0.0267	0.0268	0.0267	0.0266	0.0269	0.0262	
B1	0.0876	0.0765	0.0702	0.063	0.0615	0.0587	0.0492	0.0396	0.0334	0.0292	0.0278	0.0266	0.0265	0.0268	0.026	0.0262	0.0256	0.0254	0.0255	0.0256	0.0248	0.0251	0.025	0.0249	0.0245	0.024	0.0243	0.0243	0.0237	0.0241	0.0238	0.0237	0.0243	0.0242	0.0243	0.0243	0.0241	0.0244	0.0239	0.0247	0.025	0.0244	0.0252	0.026	0.0267	0.0273	0.0271	0.0273	0.0265	0.0269	0.0268	
B2	0.0572	0.051	0.0482	0.0448	0.0421	0.0404	0.0361	0.0325	0.0298	0.0278	0.027	0.026	0.0264	0.026	0.0256	0.026	0.0257	0.0253	0.0256	0.0257	0.0248	0.0251	0.0252	0.0246	0.0246	0.024	0.0241	0.0239	0.0238	0.024	0.0241	0.0241	0.0249	0.0248	0.0243	0.0244	0.0244	0.0244	0.0243	0.0246	0.0253	0.025	0.0256	0.0261	0.0268	0.0277	0.0272	0.0273	0.0268	0.0271	0.0272	
B3	0.0479	0.0429	0.0413	0.0381	0.036	0.034	0.032	0.0299	0.028	0.0268	0.0268	0.0258	0.0263	0.0259	0.0261	0.026	0.0256	0.0251	0.0254	0.0253	0.0247	0.0249	0.0251	0.0251	0.0245	0.0241	0.0244	0.0239	0.0239	0.0239	0.0239	0.0241	0.0244	0.0247	0.0246	0.0246	0.0244	0.0247	0.0242	0.0247	0.0247	0.0246	0.0256	0.0263	0.0266	0.0278	0.0272	0.0275	0.0271	0.0268	0.0269	
B4	0.0442	0.0394	0.039	0.0351	0.0337	0.0316	0.0304	0.0287	0.0284	0.0268	0.0264	0.0266	0.0254	0.0269	0.0259	0.0262	0.0259	0.0255	0.026	0.0259	0.025	0.0251	0.0255	0.025	0.0254	0.0243	0.0245	0.0246	0.0235	0.0242	0.0248	0.0242	0.0246	0.0248	0.0245	0.0249	0.0246	0.0248	0.0243	0.0249	0.0252	0.0249	0.0248	0.0262	0.0267	0.0279	0.0273	0.0271	0.0266	0.0271	0.027	
B5	0.0435	0.0395	0.0378	0.0345	0.0333	0.0312	0.0287	0.0277	0.0276	0.0259	0.0261	0.0257	0.0265	0.0264	0.0261	0.0261	0.0258	0.0257	0.0258	0.0261	0.0247	0.0249	0.0252	0.0251	0.0246	0.0245	0.0248	0.0244	0.0244	0.0242	0.0244	0.024	0.025	0.025	0.0248	0.0248	0.0251	0.0252	0.0244	0.0251	0.0257	0.0259	0.026	0.0264	0.0274	0.0279	0.0278	0.0278	0.0277	0.0275	0.0272	
B6	0.0431	0.0388	0.0371	0.0355	0.0329	0.0311	0.0286	0.0283	0.028	0.0268	0.0268	0.0263	0.0266	0.0267	0.0266	0.0261	0.0265	0.0261	0.0258	0.0265	0.0254	0.0256	0.0255	0.0254	0.0255	0.0246	0.0248	0.0245	0.0246	0.0246	0.0246	0.025	0.0254	0.0258	0.025	0.0253	0.025	0.0254	0.0248	0.0255	0.0257	0.0255	0.0259	0.0266	0.0274	0.0278	0.0275	0.0278	0.0273	0.0278	0.0276	
B7	0.0423	0.038	0.0367	0.034	0.0316	0.0303	0.0281	0.0279	0.0271	0.0263	0.0256	0.0261	0.0261	0.0258	0.0262	0.026	0.0254	0.0254	0.0249	0.0256	0.0246	0.0253	0.0256	0.0251	0.0249	0.0243	0.0247	0.0242	0.0239	0.0243	0.0241	0.0242	0.0246	0.0248	0.0245	0.025	0.0248	0.0246	0.0244	0.0251	0.0251	0.0251	0.0253	0.0261	0.0271	0.0277	0.0275	0.0271	0.0268	0.0273	0.0267	
B8	0.0425	0.0375	0.0372	0.0338	0.0321	0.0298	0.0284	0.0277	0.0264	0.0261	0.0262	0.026	0.0265	0.0263	0.026	0.026	0.0259	0.025	0.0258	0.0257	0.0245	0.0246	0.0252	0.0249	0.0248	0.0241	0.0243	0.024	0.0244	0.0242	0.0244	0.024	0.025	0.0246	0.0248	0.0249	0.0248	0.0252	0.0246	0.025	0.025	0.0251	0.0255	0.0263	0.0265	0.0278	0.0268	0.027	0.0266	0.0269	0.027	
B9	0.0421	0.0381	0.0366	0.034	0.0323	0.0307	0.0285	0.0275	0.027	0.0261	0.0264	0.0258	0.0263	0.0266	0.0252	0.0261	0.0257	0.0257	0.0253	0.0264	0.0247	0.0253	0.0254	0.0253	0.0248	0.0241	0.0244	0.0243	0.0237	0.0239	0.0242	0.0236	0.0247	0.0249	0.0249	0.025	0.0244	0.0244	0.0239	0.0248	0.0249	0.0253	0.0253	0.0256	0.0272	0.0275	0.0271	0.0275	0.0272	0.0271	0.0268	
B10	0.0423	0.0375	0.0364	0.0338	0.0325	0.0298	0.0284	0.0277	0.0269	0.0263	0.0267	0.0265	0.0264	0.0262	0.0258	0.0258	0.0262	0.0253	0.0258	0.0256	0.0253	0.0251	0.0251	0.0249	0.0251	0.0244	0.0246	0.024	0.0239	0.024	0.0242	0.0237	0.0247	0.0251	0.0247	0.0249	0.0247	0.0245	0.0236	0.0248	0.025	0.025	0.025	0.0256	0.027	0.0274	0.027	0.0269	0.0272	0.0274	0.0269	
B11	0.0431	0.0386	0.0381	0.0356	0.0335	0.0317	0.0306	0.0289	0.029	0.028	0.0283	0.0271	0.0264	0.0278	0.0278	0.0271	0.027	0.0269	0.0266	0.0274	0.0262	0.0263	0.0261	0.0263	0.0259	0.0255	0.0262	0.0255	0.0254	0.0257	0.0258	0.0256	0.0264	0.0257	0.0263	0.0261	0.0262	0.0263	0.0259	0.026	0.0259	0.0262	0.0266	0.027	0.0279	0.0287	0.0285	0.0289	0.0284	0.0283	0.028	
B12	0.0424	0.0367	0.0367	0.0344	0.0322	0.0301	0.0276	0.028	0.0277	0.0262	0.0257	0.0262	0.0266	0.026	0.0256	0.0262	0.0258	0.0252	0.0254	0.0258	0.0246	0.0246	0.0255	0.0252	0.0249	0.0244	0.0248	0.0234	0.0243	0.0243	0.0246	0.0244	0.0246	0.0249	0.0251	0.0249	0.0247	0.0249	0.024	0.0251	0.0249	0.0248	0.0254	0.0259	0.0268	0.0277	0.0273	0.0273	0.0272	0.027	0.0268	
C1	0.0881	0.0773	0.0708	0.0637	0.0618	0.059	0.0493	0.0393	0.0341	0.0295	0.0277	0.0263	0.0263	0.0269	0.0259	0.0261	0.0254	0.0251	0.0253	0.0253	0.0245	0.0251	0.0246	0.0249	0.0243	0.0239	0.0241	0.0243	0.0236	0.0237	0.0237	0.0235	0.0241	0.0237	0.024	0.0241	0.0238	0.0244	0.0237	0.0249	0.0252	0.025	0.0257	0.0266	0.0273	0.0277	0.0277	0.0277	0.0275	0.0275	0.0273	
C2	0.0574	0.0522	0.049	0.0455	0.0423	0.0406	0.0365	0.0323	0.0307	0.0275	0.0271	0.026	0.0266	0.0265	0.0256	0.026	0.0259	0.0255	0.026	0.0259	0.025	0.0254	0.0253	0.025	0.0249	0.0244	0.0245	0.0243	0.0242	0.0243	0.0243	0.0245	0.0251	0.0249	0.0245	0.0246	0.0247	0.0249	0.0246	0.0254	0.0258	0.0262	0.0266	0.0272	0.0282	0.0288	0.0282	0.0283	0.0285	0.0283	0.0281	
C3	0.0477	0.0435	0.0421	0.0389	0.0361	0.0342	0.032	0.0297	0.0284	0.0266	0.0262	0.0255	0.0257	0.0262	0.0257	0.0255	0.025	0.0247	0.025	0.025	0.0242	0.0245	0.0246	0.0246	0.0242	0.0237	0.024	0.0235	0.0235	0.0235	0.0235	0.0236	0.0238	0.0238	0.024	0.0239	0.0237	0.0241	0.0236	0.0248	0.0248	0.0247	0.0256	0.0262	0.0266	0.0276	0.027	0.0274	0.0272	0.0271	0.0269	
C4	0.0437	0.0406	0.0397	0.0356	0.0338	0.0319	0.0311	0.0286	0.029	0.0266	0.0263	0.0264	0.0251	0.0269	0.0255	0.0258	0.0255	0.0252	0.0256	0.0254	0.0244	0.0248	0.0249	0.0244	0.0248	0.0237	0.0242	0.0245	0.0233	0.0239	0.0244	0.0239	0.0241	0.0241	0.024	0.0242	0.024	0.0243	0.024	0.0249	0.025	0.0249	0.0249	0.0262	0.027	0.0277	0.0273	0.0274	0.0272	0.027	0.0269	
C5	0.0435	0.0404	0.0388	0.0359	0.0337	0.0315	0.0293	0.0278	0.0283	0.0257	0.0261	0.0255	0.0263	0.0263	0.0259	0.0258	0.0255	0.0252	0.0255	0.0258	0.0241	0.0245	0.0247	0.0245	0.0242	0.0241	0.0243	0.024	0.024	0.0238	0.0238	0.0237	0.0242	0.0242	0.0242	0.024	0.0243	0.0243	0.0236	0.0247	0.0249	0.0251	0.0252	0.0258	0.0266	0.0268	0.0268	0.0268	0.0269	0.0264	0.0263	
C6	0.0421	0.0391	0.0376	0.0357	0.0328	0.031	0.0294	0.0284	0.0286	0.0258	0.0264	0.0257	0.026	0.0262	0.0261	0.0252	0.0257	0.0253	0.0252	0.0258	0.0247	0.0252	0.0247	0.0245	0.0246	0.024	0.024	0.0237	0.024	0.0239	0.0239	0.0242	0.0242	0.0245	0.024	0.0245	0.024	0.0244	0.0239	0.0249	0.025	0.025	0.0255	0.0264	0.0272	0.0273	0.027	0.0272	0.0273	0.027	0.0269	
C7	0.0421	0.0392	0.0381	0.0355	0.0323	0.031	0.0287	0.0281	0.0281	0.0263	0.0254	0.026	0.0262	0.0259	0.0261	0.0255	0.025	0.0253	0.0249	0.0255	0.0242	0.025	0.0254	0.025	0.0247	0.0242	0.0244	0.0241	0.0238	0.0241	0.0237	0.024	0.0243	0.0242	0.024	0.0247	0.0243	0.0244	0.0242	0.0251	0.0253	0.0253	0.0258	0.0265	0.0275	0.0279	0.028	0.0278	0.0275	0.0277	0.0274	
C8	0.0421	0.0387	0.0376	0.0349	0.0329	0.0303	0.029	0.0279	0.0272	0.0261	0.0259	0.0262	0.0267	0.0265	0.0257	0.0254	0.0255	0.0243	0.0256	0.0252	0.024	0.0241	0.0248	0.0245	0.0246	0.0239	0.024	0.0238	0.024	0.0238	0.0241	0.0238	0.0245	0.024	0.0242	0.0244	0.0242	0.0247	0.0241	0.0251	0.0251	0.0253	0.0257	0.0265	0.0273	0.0278	0.0273	0.0276	0.0273	0.0272	0.0274	
C9	0.0421	0.0396	0.0376	0.0352	0.0326	0.0311	0.0296	0.0277	0.0277	0.0256	0.0265	0.0258	0.0265	0.0267	0.025	0.0255	0.0252	0.0253	0.0252	0.0265	0.0244	0.0251	0.025	0.0251	0.0245	0.0239	0.0243	0.024	0.0235	0.0238	0.024	0.0235	0.0242	0.0243	0.0244	0.0247	0.0239	0.0242	0.0237	0.025	0.025	0.0255	0.0256	0.0264	0.0275	0.028	0.0278	0.0277	0.0275	0.0273	0.027	
C10	0.0422	0.0383	0.0368	0.0341	0.0326	0.0303	0.0292	0.0278	0.0274	0.026	0.0266	0.0264	0.0262	0.0261	0.0256	0.0253	0.0258	0.025	0.0254	0.025	0.0247	0.0247	0.0246	0.0242	0.0248	0.0241	0.0243	0.0237	0.0234	0.0235	0.0237	0.0234	0.0242	0.0243	0.0241	0.0241	0.0239	0.0241	0.0235	0.0247	0.0251	0.0255	0.0256	0.0263	0.0276	0.0278	0.0278	0.0277	0.0277	0.0278	0.0274	
C11	0.0419	0.0394	0.0377	0.0356	0.0327	0.0308	0.0296	0.0275	0.0283	0.0267	0.0269	0.0255	0.0248	0.0267	0.0263	0.0253	0.0253	0.0252	0.0249	0.0259	0.0243	0.0246	0.0242	0.0245	0.0242	0.0237	0.0244	0.024	0.0237	0.0238	0.024	0.0237	0.0244	0.0238	0.0243	0.0243	0.0241	0.0245	0.0242	0.0249	0.0248	0.0251	0.0256	0.0263	0.0273	0.0278	0.0277	0.028	0.0275	0.0273	0.027	
C12	0.0415	0.0376	0.0374	0.0352	0.0323	0.0307	0.0289	0.028	0.0281	0.0265	0.0254	0.0259	0.0264	0.026	0.0252	0.0259	0.0256	0.025	0.0253	0.0254	0.0242	0.0246	0.0251	0.025	0.0246	0.0242	0.0245	0.0233	0.024	0.024	0.0243	0.0243	0.0242	0.0243	0.0242	0.0243	0.0242	0.0246	0.0238	0.0253	0.0253	0.0256	0.0263	0.0269	0.0281	0.0285	0.0285	0.0285	0.0284	0.0284	0.028	
D1	0.0882	0.0768	0.0708	0.0634	0.0619	0.0591	0.0497	0.0398	0.0339	0.0297	0.028	0.0268	0.0267	0.0271	0.0263	0.0265	0.0259	0.0257	0.0259	0.0259	0.0252	0.0254	0.0253	0.0253	0.0249	0.0244	0.0246	0.0246	0.024	0.0244	0.0242	0.0241	0.0246	0.0245	0.0246	0.0246	0.0245	0.0247	0.0242	0.0253	0.0254	0.025	0.0258	0.0267	0.0275	0.0281	0.028	0.0282	0.0276	0.0279	0.0278	
D2	0.0574	0.0514	0.0486	0.0451	0.0424	0.0407	0.0365	0.0325	0.0302	0.0281	0.027	0.0261	0.0267	0.0261	0.0256	0.0262	0.0258	0.0255	0.0258	0.0259	0.025	0.0253	0.0254	0.0248	0.0248	0.0242	0.0243	0.0241	0.0241	0.0241	0.0242	0.0243	0.025	0.0249	0.0244	0.0244	0.0245	0.0245	0.0244	0.0248	0.0254	0.0254	0.026	0.0266	0.0273	0.0284	0.0279	0.0279	0.0277	0.0278	0.028	
D3	0.047	0.0421	0.041	0.038	0.0359	0.0339	0.0319	0.0295	0.028	0.0267	0.0264	0.0255	0.026	0.0258	0.0259	0.0258	0.0255	0.025	0.0253	0.0252	0.0247	0.0248	0.025	0.025	0.0244	0.024	0.0243	0.0239	0.0238	0.0238	0.0239	0.024	0.0243	0.0245	0.0245	0.0245	0.0243	0.0245	0.0241	0.0249	0.0249	0.0248	0.0259	0.0266	0.0271	0.0284	0.0278	0.0281	0.0277	0.0276	0.0277	
D4	0.0477	0.0439	0.0434	0.0395	0.0383	0.0365	0.0359	0.0339	0.0342	0.0329	0.0329	0.0334	0.0329	0.0345	0.0342	0.0347	0.035	0.0347	0.0359	0.0363	0.0352	0.0359	0.0365	0.0362	0.0371	0.0358	0.0365	0.0368	0.0357	0.0367	0.0373	0.0369	0.0374	0.0376	0.0375	0.0383	0.0381	0.0384	0.0382	0.0389	0.0392	0.0393	0.0392	0.0411	0.0417	0.0429	0.0426	0.0422	0.0421	0.0425	0.0426	
D5	0.0423	0.0387	0.0375	0.0343	0.033	0.031	0.0292	0.0277	0.0276	0.0259	0.026	0.0257	0.0263	0.0262	0.026	0.026	0.0257	0.0257	0.0258	0.0263	0.0245	0.0249	0.0251	0.0251	0.0246	0.0244	0.0247	0.0243	0.0244	0.0241	0.0243	0.024	0.0248	0.0248	0.0247	0.0247	0.0249	0.0249	0.0241	0.025	0.0255	0.0256	0.0259	0.0263	0.0274	0.0279	0.0279	0.0279	0.0278	0.0275	0.0274	
D6	0.0419	0.0377	0.0369	0.0347	0.0323	0.0306	0.0291	0.028	0.0281	0.0265	0.0264	0.0259	0.026	0.0264	0.0263	0.0258	0.0262	0.0258	0.0256	0.0262	0.0252	0.0254	0.0253	0.0252	0.0251	0.0245	0.0247	0.0244	0.0245	0.0243	0.0245	0.0248	0.025	0.0255	0.0248	0.0251	0.0247	0.0251	0.0245	0.0253	0.0254	0.0252	0.0257	0.0265	0.0274	0.0278	0.0276	0.0278	0.0274	0.0277	0.0277	
D7	0.0414	0.0375	0.0372	0.0343	0.0316	0.0305	0.0287	0.0279	0.0276	0.0264	0.0257	0.0261	0.0259	0.0258	0.0263	0.0261	0.0255	0.0255	0.0251	0.0262	0.0246	0.0253	0.0257	0.0252	0.025	0.0244	0.0247	0.0243	0.0241	0.0243	0.0242	0.0243	0.0245	0.0248	0.0245	0.0251	0.0249	0.0246	0.0244	0.0251	0.0251	0.025	0.0253	0.0261	0.0272	0.0279	0.0278	0.0274	0.0271	0.0275	0.0271	
D8	0.0417	0.0374	0.0376	0.0344	0.0326	0.0305	0.0293	0.0282	0.0271	0.0267	0.0266	0.0264	0.027	0.0268	0.0262	0.0264	0.0263	0.0254	0.0263	0.026	0.0249	0.025	0.0255	0.0252	0.0252	0.0245	0.0246	0.0243	0.0247	0.0245	0.0248	0.0244	0.0252	0.025	0.0251	0.0252	0.0252	0.0255	0.0248	0.0255	0.0254	0.0256	0.0261	0.0269	0.0276	0.0289	0.0281	0.0282	0.0277	0.0281	0.0281	
D9	0.0412	0.0379	0.0366	0.0341	0.0321	0.0307	0.0289	0.0275	0.0273	0.026	0.0264	0.0258	0.0265	0.0267	0.0252	0.0261	0.0257	0.0257	0.0254	0.0267	0.0246	0.0253	0.0254	0.0253	0.0248	0.0242	0.0245	0.0243	0.0238	0.0241	0.0243	0.0237	0.0246	0.0248	0.0249	0.025	0.0244	0.0244	0.0239	0.025	0.0249	0.0254	0.0255	0.0261	0.0275	0.0282	0.0278	0.028	0.0278	0.0275	0.0273	
D10	0.0413	0.037	0.0363	0.0337	0.0323	0.0298	0.0289	0.028	0.0272	0.0264	0.0266	0.0265	0.0267	0.0262	0.0258	0.0258	0.0262	0.0254	0.0258	0.0256	0.0253	0.0251	0.0251	0.025	0.0252	0.0245	0.0246	0.024	0.0239	0.024	0.0243	0.0237	0.0246	0.025	0.0247	0.0249	0.0247	0.0246	0.0238	0.025	0.0251	0.0253	0.0253	0.0261	0.0276	0.0281	0.0278	0.0277	0.0279	0.028	0.0277	
D11	0.0413	0.0372	0.0371	0.0345	0.0322	0.0305	0.0295	0.0275	0.0278	0.0267	0.0269	0.0257	0.025	0.0264	0.0264	0.0256	0.0256	0.0254	0.0252	0.0263	0.0246	0.0248	0.0247	0.0249	0.0245	0.0241	0.0247	0.0241	0.0239	0.0243	0.0244	0.024	0.0248	0.0242	0.0248	0.0248	0.0248	0.0248	0.0245	0.0248	0.0247	0.025	0.0254	0.0261	0.0271	0.028	0.0279	0.0281	0.0277	0.0276	0.0273	
D12	0.0411	0.0359	0.0363	0.034	0.0318	0.0298	0.0284	0.0278	0.0276	0.0262	0.0255	0.0259	0.0264	0.0258	0.0255	0.0259	0.0256	0.025	0.0252	0.0256	0.0246	0.0245	0.0254	0.0251	0.0248	0.0243	0.0247	0.0235	0.0241	0.0242	0.0245	0.0243	0.0243	0.0247	0.0249	0.0248	0.0246	0.0248	0.024	0.0252	0.025	0.0251	0.0256	0.0263	0.0273	0.0283	0.0281	0.0281	0.0279	0.0278	0.0276	
E1	0.0869	0.0761	0.0701	0.063	0.0602	0.0578	0.0476	0.0378	0.0327	0.0264	0.0265	0.0259	0.0243	0.0264	0.0257	0.0253	0.0255	0.025	0.0253	0.0256	0.0245	0.0245	0.0237	0.0238	0.0235	0.0241	0.024	0.0249	0.0238	0.024	0.0237	0.0237	0.0241	0.0238	0.0242	0.0245	0.0239	0.0242	0.0237	0.0244	0.0246	0.0246	0.0246	0.0256	0.0266	0.0271	0.0271	0.0273	0.0272	0.0268	0.0261	
E2	0.0568	0.0512	0.0482	0.0441	0.0425	0.0397	0.0358	0.0321	0.0306	0.0266	0.0257	0.0243	0.0254	0.0255	0.0246	0.0251	0.025	0.025	0.0252	0.0258	0.0237	0.0243	0.0242	0.0245	0.0241	0.0242	0.0236	0.0237	0.0232	0.0238	0.024	0.0242	0.024	0.0239	0.024	0.0243	0.0238	0.0237	0.0238	0.0243	0.0244	0.0243	0.0248	0.0255	0.0264	0.0271	0.0269	0.0268	0.0271	0.0269	0.0262	
E3	0.0486	0.0428	0.0416	0.0384	0.0362	0.0335	0.0322	0.0292	0.0311	0.0247	0.0263	0.0259	0.0259	0.0261	0.0261	0.0251	0.0258	0.0253	0.0257	0.0258	0.0239	0.0245	0.0257	0.0251	0.0258	0.0245	0.0252	0.0257	0.025	0.0249	0.0248	0.0251	0.0247	0.0256	0.0253	0.0255	0.0251	0.0254	0.0253	0.0259	0.0258	0.0262	0.0265	0.0277	0.0284	0.0285	0.0284	0.029	0.0288	0.0281	0.028	
E4	0.043	0.039	0.039	0.0346	0.0332	0.0301	0.0286	0.0265	0.0283	0.0254	0.0248	0.0254	0.0259	0.025	0.0248	0.025	0.0249	0.0249	0.024	0.0246	0.0238	0.0242	0.0238	0.0239	0.024	0.0236	0.0239	0.0242	0.0239	0.0233	0.0235	0.0231	0.0235	0.0238	0.0232	0.0243	0.0237	0.024	0.0233	0.0239	0.0239	0.0243	0.0246	0.0256	0.0262	0.0266	0.0262	0.0267	0.0264	0.0265	0.0258	
E5	0.0443	0.0407	0.0385	0.0365	0.0331	0.0318	0.0285	0.0271	0.0287	0.0254	0.0276	0.0263	0.0271	0.0264	0.0262	0.0268	0.0266	0.0262	0.0266	0.0271	0.026	0.0265	0.0271	0.0267	0.0265	0.0263	0.0264	0.0273	0.0268	0.0266	0.0268	0.0265	0.0274	0.0272	0.0273	0.0279	0.0275	0.0272	0.027	0.028	0.0278	0.0282	0.0283	0.0298	0.0301	0.0303	0.0311	0.0307	0.0306	0.0307	0.0299	
