*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	
A1	0.0875	0.0764	0.07	0.0632	0.0615	0.0586	0.0488	0.0389	0.0336	0.0292	0.0272	0.0257	0.0258	0.0263	0.0257	0.0259	0.0249	0.0247	0.0249	0.0249	0.0242	0.0249	0.0242	0.0246	0.0242	0.0237	0.0238	0.0244	0.0234	0.0236	0.0236	0.0235	0.024	0.0236	0.024	0.0242	0.0237	0.0241	0.0235	0.0245	0.0246	0.0245	0.0247	0.026	0.0264	0.0267	0.0268	0.0265	0.0267	0.0265	0.0264	
A2	0.0566	0.0504	0.0477	0.0442	0.0413	0.0396	0.036	0.0318	0.0302	0.0265	0.0267	0.0255	0.0261	0.0262	0.0251	0.0256	0.0255	0.025	0.0257	0.0253	0.0246	0.0248	0.0247	0.0244	0.0244	0.0238	0.0238	0.0239	0.0235	0.0239	0.0237	0.0241	0.0244	0.0243	0.0239	0.0242	0.0242	0.024	0.0238	0.0244	0.0242	0.0249	0.0248	0.0255	0.0267	0.027	0.0266	0.0263	0.0269	0.0267	0.0262	
A3	0.0479	0.0425	0.0415	0.038	0.0353	0.0337	0.0316	0.0296	0.0282	0.026	0.0259	0.0252	0.0252	0.0263	0.0256	0.0256	0.0248	0.0246	0.025	0.0251	0.0244	0.0245	0.0246	0.0247	0.0244	0.0237	0.0241	0.0235	0.0237	0.0239	0.0236	0.0237	0.024	0.0238	0.0243	0.0241	0.0239	0.024	0.0238	0.0246	0.0244	0.0243	0.0248	0.0257	0.026	0.0269	0.0264	0.0268	0.0267	0.0267	0.0263	
A4	0.0436	0.0397	0.039	0.0345	0.0328	0.031	0.0305	0.0279	0.0282	0.0258	0.0256	0.0258	0.0244	0.0264	0.0251	0.0254	0.0251	0.025	0.0254	0.0251	0.0242	0.0246	0.0247	0.0242	0.0247	0.0234	0.0242	0.0249	0.0231	0.024	0.0244	0.0239	0.0243	0.0241	0.024	0.0243	0.0238	0.024	0.024	0.0245	0.0244	0.0245	0.024	0.0255	0.0262	0.0268	0.0266	0.0267	0.0266	0.0264	0.0262	
A5	0.0443	0.0397	0.0383	0.0356	0.0333	0.0314	0.0288	0.0274	0.0284	0.0255	0.0262	0.0254	0.0264	0.0263	0.0262	0.0261	0.0256	0.0252	0.0256	0.026	0.0243	0.0247	0.025	0.0246	0.0245	0.0243	0.0245	0.0244	0.0242	0.0244	0.024	0.0241	0.0242	0.0244	0.0245	0.0241	0.0244	0.0241	0.0238	0.0247	0.0247	0.025	0.0251	0.026	0.0268	0.0268	0.027	0.0267	0.0271	0.0267	0.0265	
A6	0.0431	0.0389	0.0373	0.0357	0.0328	0.0309	0.0289	0.0286	0.0283	0.0253	0.0264	0.0255	0.0259	0.026	0.0264	0.0252	0.0258	0.0254	0.0253	0.0259	0.0249	0.0255	0.0248	0.0244	0.0247	0.0241	0.0242	0.024	0.024	0.0242	0.024	0.0244	0.0242	0.0244	0.0241	0.0247	0.024	0.0241	0.0238	0.0244	0.0245	0.0246	0.0249	0.026	0.0267	0.0268	0.0264	0.0265	0.0269	0.0262	0.026	
A7	0.0431	0.0387	0.0373	0.0349	0.0321	0.0306	0.0277	0.0276	0.0272	0.0255	0.0245	0.0255	0.0259	0.0254	0.0257	0.0249	0.0245	0.025	0.0246	0.025	0.0239	0.0245	0.025	0.0247	0.0245	0.0239	0.024	0.0242	0.0234	0.024	0.0233	0.0238	0.0243	0.0241	0.0238	0.0245	0.0238	0.024	0.0239	0.0242	0.0243	0.0244	0.0248	0.0255	0.0263	0.0266	0.0268	0.0266	0.0264	0.0265	0.0262	
A8	0.0428	0.0378	0.0363	0.0337	0.0323	0.0294	0.0282	0.0272	0.0266	0.0252	0.025	0.0258	0.0265	0.026	0.0255	0.0249	0.0251	0.0237	0.0252	0.0248	0.0236	0.0237	0.0245	0.0242	0.0244	0.0237	0.0237	0.0239	0.0236	0.0237	0.0239	0.0237	0.0244	0.0238	0.0241	0.0244	0.024	0.0241	0.0236	0.0243	0.0243	0.0244	0.0246	0.0258	0.0264	0.0265	0.0261	0.0265	0.0263	0.026	0.0265	
A9	0.043	0.0389	0.0369	0.0343	0.0321	0.0305	0.029	0.0271	0.027	0.0248	0.0259	0.0251	0.0262	0.0262	0.0247	0.0248	0.0247	0.0248	0.0248	0.0263	0.0241	0.0247	0.0246	0.0247	0.0242	0.0236	0.024	0.0238	0.0231	0.0238	0.0238	0.0234	0.024	0.0241	0.0241	0.0248	0.0236	0.0239	0.0234	0.0242	0.024	0.0245	0.0244	0.0255	0.0263	0.0268	0.0269	0.0262	0.0262	0.0263	0.0258	
A10	0.0437	0.038	0.0363	0.0337	0.0324	0.0304	0.029	0.0271	0.027	0.0256	0.0263	0.0263	0.0259	0.0261	0.0257	0.0253	0.0258	0.0251	0.0253	0.0249	0.0248	0.0247	0.0246	0.0239	0.0249	0.0242	0.0244	0.024	0.0235	0.0239	0.0238	0.0238	0.0245	0.0244	0.0243	0.0245	0.0238	0.0241	0.0236	0.0242	0.0244	0.0249	0.0248	0.0256	0.0266	0.0266	0.027	0.0268	0.0266	0.0269	0.0262	
