24431	25310	24679	25221	26699	25373	27346	26340	27300	25141	26535	26228
26095	28385	27001	29683	29249	28432	29721	28731	28900	28166	29006	30474
44348	47174	49434	49735	48752	48546	49673	49508	50232	50473	48891	48866
7395	7699	7068	6809	7600	7517	7264	7470	7113	7405	7346	7172
25274	26708	27529	28422	30456	25507	27073	27009	26620	25919	26201	26991
29447	27923	30281	28137	28257	28965	28885	29618	28117	28400	28106	28031
47076	48121	48321	47213	47129	49440	50534	45429	47727	46911	47094	46186
7019	6939	7556	7510	7297	7480	9373	7375	7025	7473	7055	6895
