<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	###	###	###	###	###	###	###	###	16505	37553	24780	18023	
B	###	###	###	###	###	###	###	###	17082	35275	27756	17844	
C	###	###	###	###	###	###	###	###	17989	35500	22061	17377	
D	###	###	###	###	###	###	###	###	18478	34673	20785	17783	
E	###	###	###	###	###	###	###	###	18532	34053	20926	18516	
F	###	###	###	###	###	###	###	###	19036	31849	19717	19680	
G	###	###	###	###	###	###	###	###	43505	31772	19876	19610	
H	###	###	###	###	###	###	###	###	41989	28598	21680	20318	
