<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	5902	5514	5203	4562	4372	4287	4296	4234	4308	37487	19172	7722	
B	5751	5312	4991	4531	4222	4268	5692	4201	4260	35251	18919	7433	
C	5648	5256	4793	4350	4743	4155	4110	4197	4287	31925	13717	6751	
D	5557	5053	4846	4357	4226	4166	4288	4297	4265	29835	11759	6781	
E	5474	5094	5023	4388	4328	4194	4222	4230	4373	28486	9944	6858	
F	5553	5197	4926	4444	4607	4325	4282	4412	4957	26262	9248	7025	
G	5565	5389	4943	4526	7116	4340	4463	4826	43737	24318	8312	7067	
H	5615	5480	4991	4604	4683	4660	4578	4603	48353	21562	7890	7393	
