<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	2704	4945	2286	2729	###	###	###	###	###	2397	3459	3538	
B	2972	2753	2522	2646	###	###	###	###	###	3189	4018	3804	
C	3177	3089	3003	3276	###	###	###	###	###	3022	4819	4537	
D	3798	3657	4621	4712	###	###	###	###	###	4997	5673	5173	
E	4045	4998	8108	###	###	###	###	###	5052	8703	7268	5535	
F	5122	10317	18428	###	###	###	###	###	6238	5156	4887	7717	
G	5389	9849	10932	###	###	###	###	###	3754	3359	3541	6891	
H	4583	4510	4818	###	###	###	###	###	2784	3420	3857	4785	
