<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	1008	26949	848	801	###	###	###	###	###	3046	8308	9015	
B	1221	908	1013	831	###	###	###	###	###	3297	8040	8562	
C	1023	937	862	788	###	###	###	###	###	3925	9664	7747	
D	1036	956	1055	872	###	###	###	###	###	4720	8653	8280	
E	1103	1106	1271	###	###	###	###	###	932	5447	8447	7926	
F	1176	1876	1874	###	###	###	###	###	956	5740	8456	8772	
G	1230	1646	1584	###	###	###	###	###	2401	5745	8193	8305	
H	1194	996	1137	###	###	###	###	###	3161	7870	8398	7955	
