<>	1	2	3	4	5	6	7	8	9	10	11	12	
A	250	217	254	196	###	###	###	###	###	374	252	197	
B	214	200	207	193	###	###	###	###	###	332	284	193	
C	214	204	201	193	###	###	###	###	###	343	222	191	
D	213	203	211	213	###	###	###	###	###	328	211	192	
E	213	211	210	###	###	###	###	###	202	326	222	211	
F	211	217	221	###	###	###	###	###	208	311	218	227	
G	255	215	215	###	###	###	###	###	510	318	210	210	
H	214	230	225	###	###	###	###	###	533	288	232	223	
