*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	-51	0	0	0	0	-18	0	0	0	0	0	0	-7	-6	0	0	0	4	10	173784	154400	127092	34	5	5	4	5	5	6	6	6	8	8	7	7	6	7	6	5	6	5	5	6	5	5	4	4	4	2	4	4	2	4	3	3	3	3	3	3	1	3	1	2	3	2	2	2	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	-8	-10	0	0	0	
A2	0	0	0	-27	0	0	0	0	-11	0	0	0	0	0	0	0	0	0	7	119107	157430	131094	20	3	7	7	7	7	10	8	14	29	26	13	11	8	8	7	7	6	7	6	6	4	4	2	4	4	4	4	4	3	3	3	3	4	1	1	1	1	0	2	2	2	2	2	0	0	2	0	0	0	2	0	0	0	0	3	0	0	0	0	0	-3	-3	0	0	-3	0	0	0	0	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	-20	0	
A3	-105	0	0	0	0	0	0	0	0	0	-9	0	0	-6	-5	0	0	0	7	110007	160959	133621	41	21	15	17	20	19	22	39	56	29	27	21	21	18	16	17	16	15	17	14	16	15	11	11	12	9	10	9	6	8	6	8	7	5	5	4	4	4	3	3	3	3	5	3	2	2	0	2	2	2	0	2	2	0	0	3	0	-3	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
A4	52	0	0	0	-23	0	0	0	0	0	-9	-8	0	0	0	0	0	4	21	96595	159413	131535	382	366	490	621	771	939	1257	1700	2345	3379	4538	5958	7260	8153	8746	9641	10714	11457	11696	11129	10442	9905	9595	9892	10692	11064	10306	8269	6958	6364	6245	6676	7132	7173	6509	5448	4332	3626	3363	3293	3305	3432	3378	3093	2704	2299	1881	1601	1451	1344	1277	1242	1196	1104	1042	948	810	694	594	516	449	405	387	335	323	287	270	257	225	199	180	144	132	121	105	97	79	73	68	65	60	55	49	37	40	42	35	26	23	20	41	40	31	
A5	0	0	0	0	0	0	-16	0	-11	0	-9	0	0	-6	0	0	4	4	7	94042	159617	132963	69	77	98	103	114	116	112	117	112	104	106	99	94	84	77	79	73	73	66	65	60	55	57	53	51	46	46	44	44	35	37	34	34	34	29	29	26	26	25	24	23	21	20	21	19	16	17	16	16	14	13	13	13	9	12	10	10	5	9	9	9	10	7	10	7	6	6	6	6	5	3	3	3	3	3	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	
A6	0	0	0	0	-23	0	-16	-13	0	0	0	0	0	-6	0	0	0	4	7	95924	159258	130560	22	12	13	20	25	34	38	40	41	46	47	43	40	35	32	29	28	23	21	18	13	12	11	8	7	6	6	5	4	4	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	3	0	0	0	0	3	3	3	3	3	3	3	5	5	6	6	3	3	3	3	3	4	4	4	4	4	0	5	5	6	6	0	0	0	0	0	
B1	0	0	-35	-28	-23	-19	-16	13	0	-10	-9	0	0	0	0	0	0	4	11	189005	161972	133530	30	3	3	2	5	7	7	8	8	10	6	6	6	6	6	6	6	5	5	5	5	4	4	5	4	4	4	4	3	4	3	1	3	3	3	1	1	1	2	2	2	0	2	0	2	2	0	2	2	2	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	0	-3	0	0	0	0	0	0	0	0	0	0	0	0	0	-5	5	0	0	0	0	0	0	-31	
B2	0	0	0	0	-23	19	0	0	0	10	0	0	0	0	0	0	0	4	7	126679	162393	133107	19	5	3	6	5	7	7	8	13	26	22	9	6	5	6	6	6	7	5	5	5	5	4	4	5	4	4	4	4	3	3	1	3	3	3	1	1	3	2	2	2	0	0	3	2	2	0	0	2	2	2	2	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	-5	0	-5	0	-7	0	-10	0	0	0	
B3	-53	-42	-35	-28	0	19	0	0	0	0	0	0	0	0	0	0	4	4	7	109510	160632	134089	44	22	19	20	21	22	26	42	60	31	27	27	25	23	23	22	22	20	18	18	17	15	16	13	13	11	12	10	12	10	9	8	8	8	7	6	7	6	5	5	5	5	3	3	3	4	4	4	4	2	2	2	2	2	2	3	3	3	0	0	3	3	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	-14	-20	-31	
B4	0	0	0	0	0	0	-16	0	-11	0	0	0	0	-6	0	-5	0	4	18	91550	160179	133467	372	366	479	612	760	917	1235	1706	2322	3353	4485	5898	7133	8105	8668	9605	10553	11283	11549	11125	10323	9779	9394	9801	10639	11092	10119	8147	6887	6268	6157	6536	7129	7105	6521	5382	4237	3624	3308	3274	3313	3371	3296	3065	2688	2281	1867	1582	1413	1335	1240	1218	1180	1137	1019	936	771	685	591	516	448	408	353	352	321	290	265	246	221	204	170	151	133	114	105	93	86	82	65	61	56	55	46	43	40	37	35	26	32	30	27	20	31	
