*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	0	0	0	0	0	0	0	0	10	18	115	431527	400015	356050	1036	1197	1440	1594	1677	1666	1480	1219	1049	914	859	772	675	599	515	460	398	339	292	259	225	184	149	136	123	112	99	86	78	67	57	52	45	41	35	30	31	24	23	20	16	15	16	12	11	10	10	9	9	6	6	5	5	3	5	4	4	4	4	2	4	4	2	2	2	3	3	3	0	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	-4	-4	0	0	0	0	0	0	0	0	0	-29	
A2	-49	0	-32	0	0	0	0	0	0	19	101	414300	408137	365865	932	1136	1346	1490	1578	1576	1378	1164	973	860	812	708	627	543	475	432	371	311	273	237	201	170	140	131	119	102	89	77	70	62	54	49	44	38	34	28	25	23	21	20	16	17	12	12	9	8	9	9	7	6	6	5	3	5	4	4	2	2	2	2	2	2	2	2	0	3	3	3	-6	0	0	3	0	-6	0	0	0	0	3	0	-3	0	0	0	0	0	0	0	0	-8	0	4	0	-5	0	6	0	0	0	38	29	
A3	0	0	0	0	0	-18	0	0	0	19	119	239816	417218	367535	969	1195	1403	1533	1635	1611	1440	1178	1009	881	829	724	662	567	502	445	379	321	287	243	212	179	141	133	119	108	95	82	69	64	54	50	44	38	33	32	26	23	21	17	18	14	13	12	11	10	8	7	7	6	6	7	8	3	4	4	4	2	4	2	4	2	0	2	3	0	3	0	0	0	0	0	0	-3	3	3	0	-3	0	3	0	-3	3	-3	-3	3	-3	0	-4	-4	0	-4	5	10	-5	0	14	9	-26	0	29	
A4	0	0	0	0	0	0	0	0	0	19	117	224789	413794	360090	926	1181	1364	1526	1640	1648	1466	1234	1075	952	907	824	744	669	610	556	522	498	484	497	501	492	478	483	502	492	482	452	411	384	357	346	331	316	282	244	214	193	176	171	163	155	141	121	105	92	81	77	74	74	67	62	53	51	41	40	32	33	28	25	21	18	21	19	20	13	19	14	12	15	6	3	16	6	6	8	0	8	5	8	0	3	3	0	3	0	3	4	0	0	-4	0	0	0	0	0	0	0	0	0	0	
A5	0	0	0	0	0	0	0	0	0	19	93	226199	420949	366193	954	1212	1446	1600	1681	1673	1491	1246	1113	994	958	877	815	731	683	636	607	575	549	532	527	481	453	462	485	494	480	479	465	456	438	429	410	397	386	362	344	317	297	279	264	240	227	214	197	176	160	157	139	127	119	113	103	89	91	78	72	61	60	49	52	47	35	43	33	32	33	31	23	16	26	13	19	15	14	11	8	10	13	13	8	11	12	3	6	10	7	7	8	4	4	0	0	0	6	0	0	0	0	0	0	
A6	0	0	0	0	0	0	0	0	11	19	111	236453	413338	365086	990	1254	1481	1664	1808	1842	1620	1391	1212	1084	1050	979	918	826	763	714	670	603	570	518	478	425	365	335	324	298	255	231	201	172	149	129	106	92	78	68	58	49	41	37	30	28	25	23	19	19	16	15	15	14	13	10	10	9	7	7	8	8	8	8	6	7	5	5	8	8	5	6	6	6	7	3	3	6	3	8	5	0	5	3	3	3	3	3	3	3	0	4	4	4	4	0	0	5	-5	0	0	0	0	0	0	
B1	0	0	0	0	0	0	0	0	11	20	133	323850	430756	377963	1068	1244	1489	1667	1765	1756	1529	1261	1089	960	908	796	703	603	545	472	411	346	308	266	233	189	157	140	129	111	104	88	78	70	61	55	48	43	38	32	29	27	24	21	18	15	15	12	13	12	10	7	8	6	7	7	3	7	4	2	6	4	6	0	4	7	2	8	0	3	0	-3	3	3	10	0	-7	0	6	6	3	-3	-3	3	0	-3	3	-6	3	0	-4	0	0	0	-4	0	0	11	-12	0	8	10	0	0	0	
B2	0	0	0	0	0	0	0	0	11	20	107	267401	436760	384887	992	1200	1427	1587	1649	1660	1457	1236	1031	899	857	749	667	574	509	449	387	335	283	249	217	178	151	134	125	111	93	83	73	66	58	49	45	37	35	30	28	24	22	18	19	15	12	11	11	10	10	9	6	8	5	7	5	2	4	8	4	4	4	6	4	2	7	-3	-3	3	6	-3	3	-3	10	-3	0	0	0	3	0	0	3	0	0	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B3	0	0	0	0	0	0	0	0	11	20	115	259111	426803	380356	1020	1220	1451	1597	1688	1692	1473	1193	1028	916	838	746	671	569	511	456	390	333	281	248	221	183	149	130	119	111	96	82	74	64	60	51	45	40	37	31	27	25	20	18	17	17	15	13	11	10	10	8	6	8	7	5	4	7	4	6	8	2	2	4	-2	-2	5	5	3	3	3	3	0	3	0	3	3	0	0	-3	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
B4	0	0	0	0	0	0	0	0	0	30	115	241644	430632	379352	974	1197	1420	1599	1696	1689	1503	1323	1108	972	930	856	784	688	617	583	534	500	501	502	520	498	487	493	510	501	490	458	422	402	366	341	332	316	289	246	220	193	180	172	170	158	144	128	111	94	85	80	76	73	69	65	55	48	46	38	31	28	27	24	23	23	24	15	21	13	6	18	9	10	14	7	3	6	0	6	6	0	0	-3	3	6	-3	3	0	0	0	0	4	0	-4	0	0	5	6	0	0	0	-27	0	0	
