*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	49	39	31	0	21	18	15	0	0	9	17	183252	400991	354206	61	14	8	7	7	8	9	8	7	6	6	7	5	6	6	6	6	6	4	4	4	5	4	5	4	5	5	4	4	3	3	3	2	3	3	4	4	2	4	4	2	3	3	3	3	1	3	1	3	1	2	3	2	2	2	2	2	2	2	2	2	2	2	2	0	3	0	3	3	0	3	3	3	3	0	0	3	0	3	0	3	3	3	0	3	0	3	0	0	0	4	4	5	5	0	6	7	0	13	19	0	
A2	49	39	0	26	0	0	15	12	0	10	8	53082	408069	360377	36	9	8	7	10	12	19	35	17	9	10	7	10	8	9	6	7	8	6	6	5	5	3	4	5	5	3	5	5	5	5	3	5	5	2	2	4	4	1	2	3	3	3	3	3	3	1	1	3	2	2	2	2	3	2	2	2	2	0	0	2	2	0	2	3	3	3	3	0	0	3	0	0	3	0	3	0	0	0	0	0	3	0	3	3	3	0	0	0	0	4	0	0	5	6	0	0	9	13	19	29	
A3	50	40	0	0	22	18	0	13	0	10	9	47734	414927	366350	72	24	21	15	17	44	65	20	16	14	16	16	17	16	16	17	14	14	12	13	12	10	9	9	10	8	8	9	7	7	7	7	5	6	6	5	5	5	5	5	4	5	4	3	4	4	4	3	3	3	3	2	3	2	3	4	2	2	4	2	2	2	2	2	2	3	3	3	3	3	0	3	0	0	3	3	0	3	0	3	3	3	3	0	0	0	3	4	4	4	4	0	5	5	5	0	7	0	25	0	0	
A4	50	0	0	27	22	18	0	13	11	0	17	46136	410846	361437	36	19	21	26	37	53	82	87	86	84	96	107	103	105	107	124	132	160	190	224	256	269	276	297	312	321	320	293	278	257	237	223	223	210	194	167	144	130	122	119	117	114	99	84	71	62	55	52	52	48	48	43	38	36	28	25	22	20	20	19	17	16	16	12	13	10	8	8	6	12	7	7	10	9	3	5	5	5	3	3	3	3	0	3	3	3	3	4	4	4	4	4	5	0	5	6	7	18	13	0	29	
A5	0	41	0	27	22	0	0	0	11	0	9	45346	419046	368443	31	28	42	53	61	79	89	95	108	113	133	150	162	168	179	199	216	231	246	264	274	275	276	295	320	330	335	331	334	324	318	309	294	282	273	256	245	228	218	199	189	174	159	144	142	124	115	107	97	90	85	72	67	63	60	53	50	44	44	37	34	31	30	24	23	23	22	20	18	16	13	16	16	12	6	11	8	11	8	5	8	6	6	3	9	10	7	4	4	0	4	4	9	10	6	6	0	9	0	19	0	
A6	0	40	33	27	22	18	15	0	11	10	17	46401	410875	363858	62	61	98	110	138	155	160	159	159	164	187	205	211	215	224	241	239	239	241	233	224	198	175	168	160	142	127	109	98	84	69	58	47	40	34	27	23	19	17	15	12	9	9	9	8	7	7	4	7	6	6	5	5	5	5	5	4	4	4	6	4	4	2	5	5	3	5	6	6	6	3	7	6	6	6	3	5	5	5	3	6	3	3	3	3	6	3	4	0	4	4	0	9	0	6	0	0	-9	0	19	29	
B1	0	0	33	27	22	0	15	13	11	10	26	114961	422281	371239	54	9	9	12	7	9	7	8	7	8	7	7	5	6	6	5	6	5	6	6	5	5	4	3	5	4	3	3	3	4	4	3	4	4	4	2	4	2	4	3	3	3	3	3	1	1	1	3	2	2	2	2	2	2	2	2	4	2	2	2	2	5	2	2	3	0	3	3	0	0	0	0	3	0	0	3	3	3	3	3	0	0	3	3	3	0	3	0	4	8	0	0	5	0	6	6	0	10	13	39	30	
B2	50	41	33	27	22	18	15	13	11	0	17	57096	419589	372042	32	10	9	8	14	12	22	36	18	11	10	9	9	8	8	6	8	6	6	6	5	5	4	4	5	6	5	4	5	5	5	5	4	4	4	4	2	2	2	2	3	3	3	3	3	3	1	3	3	3	2	2	2	2	2	2	2	2	2	2	0	2	2	0	3	3	0	3	0	3	0	3	3	0	0	0	3	3	3	3	0	3	3	3	0	0	0	0	4	4	4	9	0	5	0	0	0	9	13	38	30	
B3	50	40	33	27	0	18	15	13	11	10	17	49107	417859	366065	78	28	21	19	24	54	68	22	23	23	21	21	20	18	17	19	15	17	14	14	13	13	12	12	13	12	11	10	8	9	9	8	9	7	7	7	7	6	5	5	5	5	5	4	4	4	4	3	3	3	5	3	3	3	2	2	2	2	4	2	2	2	2	2	3	0	3	3	3	0	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	4	4	0	4	0	0	0	6	6	0	0	0	20	30	
B4	50	41	0	0	0	0	0	13	0	0	8	43019	416962	367839	31	14	21	26	34	50	72	87	84	77	86	107	105	105	104	117	126	154	181	212	239	260	264	286	301	307	300	287	258	243	229	219	213	201	181	151	138	121	113	112	108	103	97	83	68	60	56	48	50	47	44	41	35	31	27	24	23	22	20	17	17	16	14	15	10	10	14	11	6	9	7	10	6	6	6	6	5	5	5	3	3	3	3	3	3	3	3	4	4	4	0	5	5	5	6	0	7	0	0	0	29	
