*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	-49	0	-32	-26	-22	0	-15	0	-11	0	0	0	0	0	0	0	0	11	47	183161	150145	124241	200	105	155	177	188	196	218	230	250	236	233	235	225	204	184	173	171	158	146	135	118	114	100	91	80	72	67	61	52	45	43	36	32	30	26	21	19	17	14	15	12	11	9	7	7	5	5	4	4	4	2	2	2	0	2	0	3	0	0	0	0	0	0	-3	0	0	0	0	0	0	0	0	0	-3	0	0	0	-3	-3	-4	0	-4	-4	-5	0	0	0	-6	0	-9	-13	-19	-30	
A2	0	0	-33	-27	-22	0	-15	-13	0	-10	0	-8	-7	0	-5	0	4	4	35	189587	155290	128930	142	94	138	156	170	177	204	223	234	237	223	207	206	186	163	154	150	140	134	123	110	97	91	85	73	64	59	51	45	42	36	33	27	25	23	19	18	15	13	12	11	8	6	7	5	5	5	4	4	4	0	2	0	0	0	0	0	-3	0	0	-3	0	0	-3	0	6	0	-3	-3	0	0	-3	-6	0	0	-3	-3	-3	-4	-4	0	-8	-4	-5	0	-5	-6	-6	-7	-10	-13	-20	-31	
A3	-51	-41	-34	-27	-23	-19	-16	-13	-11	-10	-9	-8	-7	0	0	0	0	4	39	192977	157802	130389	150	107	146	168	185	190	213	244	262	234	233	228	217	195	178	167	167	150	137	132	114	107	100	84	78	70	62	53	46	43	38	35	30	28	23	21	18	16	12	14	12	9	8	7	3	5	6	4	4	2	2	2	2	0	2	0	0	3	0	0	-6	0	-3	0	-3	3	-3	0	-3	-3	0	3	0	0	-6	-3	-3	-3	0	0	-4	0	-4	-5	-5	0	6	-6	-23	-10	27	-20	-61	
A4	-51	-41	-33	0	-22	-19	-15	-13	-11	-10	0	-8	-7	-6	-5	-5	0	8	43	192394	157802	129940	445	426	575	738	844	999	1282	1708	2251	3125	4095	5301	6440	7313	7676	8460	9379	9992	10172	9782	9181	8697	8404	8738	9563	9896	8996	7255	6103	5556	5563	5913	6366	6367	5863	4827	3834	3252	3018	2948	2994	3039	2999	2819	2434	2066	1676	1444	1302	1205	1159	1123	1079	1017	928	829	747	632	546	457	410	387	338	312	295	275	256	225	203	174	164	148	125	113	96	86	80	63	63	52	39	46	44	32	29	31	39	25	15	10	27	19	-61	
A5	-51	-42	-33	-27	-23	-18	-15	-13	-11	-10	-9	0	-7	-6	0	0	4	4	31	189756	155933	129556	206	201	273	321	336	358	382	403	403	387	365	366	343	313	285	274	266	252	232	219	206	186	177	156	149	138	130	117	112	102	98	87	82	74	67	66	62	57	52	48	48	47	39	39	41	32	29	30	25	24	25	24	24	21	19	15	21	16	17	15	15	16	7	7	10	9	0	8	8	3	5	8	6	12	12	6	0	10	4	0	-4	4	0	0	10	10	6	0	-23	0	-40	-20	-30	
A6	-52	0	-34	-27	-23	-19	-16	-13	-11	-10	0	-8	0	0	-5	0	4	4	32	191850	155621	129993	142	117	170	192	215	238	257	273	290	289	277	277	262	234	209	203	195	174	163	140	133	120	106	94	87	72	65	57	54	46	40	36	33	28	24	22	20	17	15	14	12	11	10	8	5	7	6	6	6	4	4	2	2	5	0	7	0	3	8	9	3	7	7	0	0	3	6	9	11	5	8	5	3	0	6	6	0	7	7	7	-4	0	0	0	-5	-5	-6	0	-7	0	-13	0	0	
B1	0	-41	-34	-28	0	0	-16	-13	0	0	-9	0	0	0	-6	0	0	8	50	191204	157455	130260	170	108	142	167	189	194	219	240	248	242	236	228	221	205	177	172	169	155	143	134	118	110	98	89	78	73	65	56	54	46	41	37	33	25	23	22	20	16	15	14	12	11	10	8	3	4	6	4	4	2	4	2	0	2	0	0	5	0	3	3	0	0	-10	-3	3	0	0	6	6	0	-3	6	0	6	0	-3	0	3	7	0	0	0	-4	-5	0	-5	-6	-6	15	-10	13	-20	0	
B2	-51	-41	-34	0	0	0	0	-13	0	0	0	0	-7	0	0	0	0	8	35	194384	158683	130092	140	100	140	158	173	184	202	229	237	232	229	216	207	189	170	157	153	145	131	120	116	99	95	85	75	67	60	54	47	44	37	32	30	29	22	21	20	16	13	12	9	8	8	7	7	5	4	4	2	4	4	0	7	-2	2	0	5	0	0	-3	-3	0	-3	3	-3	0	0	-3	-6	3	-3	-3	-3	0	-3	6	-3	-10	-4	0	8	-4	0	0	-5	0	-11	-6	-15	0	-14	-20	-31	
B3	-52	-42	-34	-28	-23	0	0	-13	0	-10	0	0	0	0	-5	0	0	8	32	192368	160906	129987	147	105	149	168	178	194	213	245	261	239	235	230	216	197	171	167	162	151	139	128	114	104	97	89	77	68	62	55	49	44	41	35	29	26	23	21	18	16	15	14	12	9	8	9	5	5	2	8	8	4	2	0	0	2	7	5	5	0	0	0	0	3	-7	7	0	-3	-6	-3	-6	-5	0	3	0	6	-6	-9	0	-3	0	-4	0	0	0	0	-5	-11	12	-6	-8	0	-13	-20	30	
B4	-52	0	-34	0	0	-19	0	0	-11	-10	0	0	0	0	0	0	0	8	42	192199	157177	130062	446	424	577	721	850	993	1276	1688	2243	3088	4043	5337	6398	7254	7683	8412	9316	9937	10130	9732	9079	8597	8380	8686	9411	9784	8978	7187	6161	5522	5526	5869	6322	6344	5786	4772	3850	3220	2983	2925	2959	3000	2997	2789	2409	2065	1667	1419	1293	1195	1147	1123	1066	1016	927	847	723	623	555	452	409	366	329	305	288	261	254	221	208	184	154	134	122	106	101	90	83	74	56	60	47	46	49	37	30	26	28	26	15	19	13	20	61	
