*	280nm	285nm	290nm	295nm	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	805nm	810nm	815nm	820nm	825nm	830nm	835nm	840nm	845nm	850nm	
A1	3.03586e+006	2.43648e+006	442	78	43	88	132	160	170	150	142	124	103	80	67	55	46	34	27	27	22	18	16	14	14	14	14	13	14	14	12	12	13	13	10	11	9	10	10	9	10	10	10	10	9	8	9	8	7	7	7	7	6	6	6	6	12	8	5	6	4	4	5	5	5	5	5	3	4	4	2	2	0	2	2	0	2	2	0	3	3	3	0	3	3	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	3	4	0	0	4	0	0	5	6	0	0	0	13	0	30	
A2	3.20639e+006	2.55385e+006	264	55	89	279	717	563	467	480	401	328	248	186	143	105	77	61	48	36	27	22	20	16	16	16	15	16	16	16	14	14	14	13	15	11	12	9	10	11	11	11	8	8	9	8	8	8	7	6	7	5	6	6	5	5	8	7	4	3	3	3	3	5	3	3	3	4	2	2	2	2	2	2	2	2	0	2	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	
A3	3.17276e+006	2.59566e+006	536	217	223	778	739	724	820	903	848	735	614	497	400	296	232	179	133	100	75	54	45	35	30	27	30	30	24	24	25	24	26	21	21	19	18	17	18	17	17	15	17	16	14	13	13	13	11	11	10	10	10	8	8	8	11	8	6	7	6	5	5	5	5	3	5	4	4	6	4	2	2	2	2	0	5	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6	0	0	0	0	0	
A4	3.2119e+006	2.62936e+006	204	28	23	19	31	26	45	40	44	47	49	54	54	49	49	52	43	46	45	43	42	40	42	47	46	43	43	47	50	56	63	67	79	86	83	86	91	94	94	90	81	74	68	73	72	77	66	58	49	44	42	44	44	44	48	38	28	23	22	20	20	22	21	20	16	15	11	11	10	8	8	6	7	7	5	5	5	3	3	3	3	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	-4	0	-8	0	5	0	5	0	-6	0	0	0	0	0	
A5	3.15955e+006	2.60095e+006	234	55	45	56	46	53	46	51	53	47	41	42	43	54	69	90	101	127	144	174	204	228	282	308	359	381	420	450	474	513	548	590	604	610	585	641	692	714	716	713	697	701	674	639	628	601	572	538	521	475	456	427	387	368	335	313	277	263	238	211	208	183	167	157	146	129	117	105	95	88	83	72	71	63	58	50	47	37	37	38	34	29	24	24	23	19	21	17	16	14	14	11	6	9	12	6	10	3	7	7	4	8	4	0	5	11	0	6	0	19	-13	20	0	
A6	3.23087e+006	2.62697e+006	236	55	45	19	61	78	103	129	167	202	255	299	332	342	349	376	390	383	356	334	325	323	349	361	368	379	383	391	395	403	396	374	369	336	309	301	298	284	259	229	213	191	170	147	131	112	98	84	70	66	52	47	41	34	35	30	27	23	22	20	20	17	15	17	12	12	13	13	12	10	13	13	11	9	10	7	8	13	11	6	12	6	10	7	7	0	9	6	5	5	5	6	9	6	3	3	0	3	4	0	4	-4	0	-5	0	5	0	0	0	10	0	0	-31	
B1	3.27464e+006	2.64412e+006	415	56	46	57	94	147	174	165	146	96	84	74	61	49	45	32	28	25	21	17	13	14	14	15	12	10	11	11	13	10	11	9	8	11	9	8	9	10	9	8	8	9	9	9	7	6	7	6	6	6	5	7	5	7	11	10	4	4	3	3	3	3	2	3	2	2	2	0	0	2	0	2	2	-2	2	0	0	3	0	-3	6	0	-3	0	-3	0	0	0	0	-3	-3	0	-3	0	3	0	3	0	0	0	0	-4	0	0	-5	-5	0	0	-8	-10	-14	-40	0	
B2	3.27789e+006	2.65918e+006	308	85	91	207	687	496	421	415	341	270	200	155	132	94	66	60	47	38	25	21	18	19	16	17	16	15	13	11	14	13	13	12	10	11	9	10	10	10	10	10	8	8	8	8	7	7	8	8	6	5	5	6	7	5	10	7	4	4	3	5	3	3	3	2	4	2	2	2	2	2	0	2	2	2	-2	3	0	-3	0	0	6	0	0	0	0	0	0	0	0	0	0	-3	0	0	-3	-3	0	0	0	0	0	4	0	0	0	-5	-6	-6	0	-10	-14	-40	-31	
B3	3.2358e+006	2.63424e+006	587	221	232	767	738	691	790	888	828	708	615	530	389	333	255	190	157	121	87	66	51	47	42	37	38	33	34	30	30	29	25	27	24	24	23	22	23	21	22	18	18	19	17	15	16	15	13	13	13	13	11	10	11	9	12	11	7	7	6	8	6	6	3	3	5	4	4	2	4	2	2	2	2	2	2	3	0	-3	3	3	0	0	0	0	0	-6	0	3	3	-3	0	0	0	-3	-3	0	3	3	-7	-4	0	0	0	0	-5	0	0	0	0	-10	0	-20	-31	
B4	3.25658e+006	2.66917e+006	236	28	23	19	32	26	35	41	45	47	35	49	44	50	44	40	39	43	43	46	40	40	42	44	41	44	43	45	48	53	58	67	75	78	79	83	88	89	93	84	76	72	71	70	68	74	64	54	47	41	42	44	42	43	41	38	27	25	19	21	20	21	18	17	14	14	9	10	8	8	8	6	9	7	7	5	3	5	3	6	0	3	0	3	3	6	0	0	0	0	0	0	6	0	0	0	0	0	-4	-4	0	4	0	0	-5	5	-6	-6	0	-20	0	-20	-31	
B5	3.21083e+006	2.62601e+006	203	28	0	19	32	26	23	20	27	31	34	30	33	50	66	83	103	126	145	170	206	233	292	313	345	372	413	442	474	507	532	574	608	598	596	640	678	699	702	695	684	684	663	652	617	588	566	533	507	477	444	409	378	362	334	311	274	254	234	216	205	181	168	152	136	127	113	106	100	88	77	76	63	59	54	50	44	38	40	35	31	29	24	21	20	16	15	14	14	11	11	11	3	9	9	6	6	7	0	4	4	4	0	5	10	5	0	0	15	0	13	0	-92	
B6	3.25075e+006	2.63686e+006	236	28	46	37	62	78	92	120	170	205	257	286	311	344	355	377	383	386	359	332	325	315	347	363	373	378	387	393	396	388	383	392	377	335	307	292	294	281	255	243	214	190	170	148	129	111	98	85	67	56	54	44	40	37	34	31	27	22	22	19	19	18	15	14	14	13	11	11	12	12	10	9	9	9	10	8	8	11	6	9	9	7	7	7	7	6	6	6	3	3	5	6	6	3	3	3	0	3	4	0	4	8	4	-9	0	5	0	6	8	-19	0	20	0	
C1	3.23906e+006	2.65652e+006	413	57	23	58	111	149	164	167	144	120	98	74	61	45	32	40	29	25	21	17	13	12	14	13	13	12	12	11	11	11	10	11	11	10	11	8	10	10	9	10	7	8	6	9	9	7	6	6	6	6	5	7	5	6	14	8	4	4	5	3	3	3	2	3	2	2	2	0	0	0	2	0	2	2	0	3	0	0	0	-3	0	-3	3	0	-3	3	0	0	0	0	3	-3	3	0	0	0	0	0	-4	-4	-4	0	0	0	0	0	0	-13	0	-10	-14	0	-31	
C2	3.29722e+006	2.66847e+006	279	85	70	211	707	529	471	453	356	298	258	189	129	121	92	61	48	41	37	26	20	19	19	19	20	17	18	18	15	17	15	14	14	14	11	12	13	12	12	12	11	10	10	10	9	9	8	6	8	6	7	8	5	6	10	7	4	4	5	3	3	3	2	2	4	2	2	0	0	2	0	2	2	2	3	0	0	0	0	0	3	0	-3	4	-3	3	-3	-3	0	3	-3	0	-3	0	-3	0	3	0	-4	-4	0	0	0	-10	0	-5	-6	-7	-8	-10	-14	-20	-32	
C3	3.29636e+006	2.67569e+006	630	198	260	787	808	791	941	1040	993	835	733	598	473	365	262	209	153	116	92	63	46	39	36	36	35	29	28	29	28	27	28	25	23	22	23	18	20	20	19	17	15	17	16	15	14	14	13	12	12	10	11	9	10	10	11	10	6	4	6	5	5	3	5	5	4	2	4	2	2	0	2	2	2	2	0	0	0	0	0	0	6	3	0	0	0	0	0	3	0	0	0	0	6	-3	0	-3	-3	0	-4	0	0	4	-5	-5	0	5	0	7	-8	10	-14	0	0	
C4	3.3054e+006	2.68317e+006	209	29	24	0	33	27	23	31	37	49	43	45	51	41	46	42	40	44	42	46	37	37	42	43	44	40	40	46	48	53	57	65	76	78	77	79	88	89	88	81	75	72	69	70	74	67	65	54	47	44	39	41	45	44	43	35	27	23	20	24	19	20	19	18	16	13	11	10	10	8	7	5	7	7	5	8	3	3	6	3	0	7	0	0	0	0	0	-3	3	0	0	0	0	0	0	-3	0	0	0	0	0	-9	-5	5	-5	-11	-6	-7	-8	-20	-14	-42	0	
C5	3.32639e+006	2.73165e+006	245	29	24	20	48	27	35	42	37	32	29	32	39	56	73	88	107	131	155	185	221	249	313	329	377	391	433	464	492	524	552	605	621	623	615	657	708	721	724	725	704	690	682	671	628	601	588	558	513	483	442	427	390	362	335	310	284	260	238	220	200	180	167	148	140	128	117	102	97	87	81	74	67	58	53	49	41	40	39	31	36	27	25	21	14	23	16	15	15	11	9	9	6	9	9	7	7	4	7	4	4	4	5	0	5	6	6	0	8	0	0	-21	0	
C6	3.34067e+006	2.70664e+006	250	29	24	40	49	56	84	115	178	199	280	284	300	330	356	383	387	399	350	331	327	321	348	353	383	377	394	393	392	406	385	380	367	336	306	304	300	282	263	233	210	187	171	148	126	110	94	84	71	59	53	43	40	36	36	28	25	22	17	19	20	17	17	16	15	13	14	10	10	11	11	11	9	10	10	8	8	3	9	6	7	7	4	7	3	10	3	3	6	6	6	3	3	3	3	0	3	0	4	0	0	9	5	-5	0	11	0	-7	0	0	14	-21	-32	
