*	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	
E1	60671	41	31	29	33	32	49	87	90	61	48	48	48	49	52	51	48	48	49	46	46	48	51	54	54	55	54	52	49	45	45	41	39	37	35	32	30	28	25	23	22	22	19	18	18	14	13	14	12	11	10	10	9	9	7	8	6	4	6	4	5	5	5	5	5	6	3	6	3	3	3	3	3	3	5	3	3	3	3	6	0	3	3	3	3	4	4	0	0	
E2	105422	45	30	29	34	33	53	86	90	57	50	51	51	53	52	54	55	55	56	55	53	54	57	62	61	58	57	55	53	50	48	43	43	42	40	36	34	30	29	25	23	24	22	21	21	18	13	15	14	13	12	10	11	13	9	10	10	8	6	7	7	7	5	5	5	6	3	6	3	6	3	3	3	3	3	3	3	3	3	0	3	3	0	3	3	0	0	4	4	
E3	56844	42	30	32	31	38	52	87	89	58	51	47	48	50	51	47	50	51	51	50	45	52	53	55	55	55	53	51	46	44	46	41	38	40	33	33	29	28	26	24	22	20	20	18	17	16	13	12	12	13	10	10	12	11	9	8	8	6	6	7	5	5	5	5	5	3	3	3	3	6	3	3	0	5	5	0	3	3	3	6	3	3	3	3	3	4	4	4	0	
E4	54222	42	31	29	33	33	48	79	85	62	53	50	49	50	54	52	51	52	55	51	50	53	55	58	57	57	53	52	52	48	46	42	42	41	38	35	34	30	27	24	25	24	23	21	20	17	15	15	14	13	13	12	12	11	9	10	10	8	8	7	5	5	7	5	5	6	6	6	3	3	3	6	3	3	3	5	3	3	3	3	3	3	3	3	3	4	4	4	0	
F1	64435	14520	24745	32865	35899	35486	34881	33677	33305	31602	28612	25138	21740	18785	15823	12946	10890	8896	7208	5619	4338	3562	2999	2449	1982	1555	1234	989	801	636	511	401	340	265	210	168	138	114	91	76	61	51	43	37	28	24	19	18	17	15	13	10	9	7	7	8	6	4	4	4	5	5	5	5	3	6	3	6	6	3	3	3	3	3	5	3	3	3	3	0	3	3	0	3	3	4	4	4	0	
F2	67927	13115	22287	29359	32172	32170	31214	29861	30032	27829	25293	22110	19291	16511	13963	11409	9459	7786	6350	4949	3714	3090	2622	2126	1693	1360	1070	854	696	544	433	345	284	227	186	150	120	99	76	64	54	47	37	32	26	22	19	16	16	11	12	12	9	9	7	6	6	4	6	4	7	5	5	3	5	0	6	3	0	3	6	3	6	3	3	3	3	3	3	0	3	0	3	3	3	4	4	4	4	
F3	65908	14397	24237	32397	35100	35269	34035	33022	33042	31103	28313	24760	21473	18704	15757	12810	10703	8838	7125	5510	4256	3562	2974	2429	1923	1552	1222	982	803	633	506	407	327	263	206	166	136	108	91	74	62	52	44	37	29	27	22	18	16	11	13	10	9	9	9	6	6	4	4	7	2	5	2	5	3	3	6	3	3	3	0	3	0	3	0	3	0	3	0	3	3	3	3	3	0	4	0	4	4	
F4	59397	13356	23041	29974	32656	32286	31379	30277	30476	28633	26180	22796	20026	16827	14513	11826	9792	7996	6455	5068	3844	3240	2686	2214	1777	1418	1112	904	716	569	460	364	295	237	189	153	124	100	81	67	59	46	41	33	28	23	19	17	14	13	12	10	10	5	6	6	8	4	4	4	5	5	2	5	3	6	3	6	0	3	3	3	3	3	3	3	3	0	3	3	3	3	3	0	3	4	4	0	4	
G1	60064	42	24	29	24	28	41	76	83	43	34	32	34	32	33	29	28	28	28	24	19	21	19	19	19	16	16	14	14	15	12	10	12	11	11	9	8	7	9	9	6	7	7	7	6	6	6	6	5	5	5	5	4	4	6	4	4	4	4	4	5	2	2	3	3	3	3	3	3	7	3	3	3	5	3	3	3	3	3	0	3	3	3	3	3	4	4	4	4	
G2	55444	38	27	29	29	26	41	73	74	45	34	32	31	30	32	30	27	27	26	24	23	20	19	18	19	17	15	15	15	14	12	11	12	11	11	10	9	10	9	8	6	8	8	7	7	6	6	6	6	7	7	5	5	4	6	6	4	6	6	2	2	5	5	3	0	0	3	6	6	7	6	3	0	0	0	3	3	3	3	3	3	0	0	3	0	4	4	4	4	
G3	59851	42	27	27	22	28	42	73	77	42	30	27	28	26	29	25	24	23	23	19	21	17	18	17	16	16	15	14	14	11	12	12	10	9	10	10	9	9	8	8	8	7	7	5	7	6	6	5	6	5	3	5	4	5	4	2	2	2	0	0	0	2	0	3	0	0	3	6	3	-3	0	0	6	8	5	3	3	3	3	8	3	0	0	-3	-3	0	0	0	4	
G4	55721	42	27	24	27	24	40	71	75	43	30	31	31	28	29	27	25	23	22	20	21	19	18	19	17	16	15	15	13	11	12	12	11	11	10	10	10	9	9	9	8	7	7	7	6	7	4	6	5	7	5	5	7	5	8	8	6	6	0	4	7	10	5	5	0	8	3	-3	7	-3	3	3	0	-3	5	8	0	3	3	8	0	0	6	6	-3	-4	4	0	9	
H1	57428	42	27	24	24	26	39	75	76	44	31	31	30	31	29	29	31	27	28	26	22	24	25	24	22	23	20	21	20	17	15	16	15	14	16	12	13	12	11	10	11	11	10	8	9	9	7	8	6	5	5	5	2	2	4	8	0	4	9	0	7	0	8	3	0	3	0	-3	10	3	-3	3	0	8	3	3	5	3	3	3	0	3	-3	7	-3	7	0	4	-4	
H2	56641	50	41	48	68	92	171	323	610	988	1378	1591	1561	1502	1478	1529	1503	1374	1178	969	797	737	692	615	515	415	344	291	256	216	181	147	126	103	88	72	63	56	45	40	35	30	27	22	21	19	15	15	13	15	10	10	11	9	8	6	6	8	9	7	9	2	8	5	0	11	6	3	10	0	10	6	9	0	5	5	3	0	5	6	-3	9	-3	10	-3	11	0	4	8	
H3	55349	42	27	27	27	30	44	79	85	63	64	66	70	70	66	68	70	67	58	51	43	45	45	39	36	33	30	30	28	26	23	21	21	19	18	16	15	14	14	11	12	11	11	10	10	9	7	8	8	7	7	7	4	2	2	4	4	10	2	0	7	7	-3	3	5	0	3	3	3	10	3	3	6	0	8	0	0	3	3	3	0	6	0	0	10	-4	4	4	0	
H4	104146	54	49	56	54	56	71	104	120	87	77	79	76	78	75	74	73	72	66	56	50	54	52	48	46	44	40	36	34	33	32	28	27	26	23	23	20	20	18	17	16	16	15	12	13	12	10	11	9	10	8	9	5	6	8	12	4	4	9	9	2	10	0	5	14	-3	6	6	7	3	-3	3	9	-3	8	-3	3	5	0	0	9	-3	3	6	3	7	4	4	9	
